Start	Destination	Distance_mi	Fare_USD
Potomac Yard	Metro Center	5.80	3.10
Potomac Yard	Farragut North	6.32	3.35
Potomac Yard	Dupont Circle	6.80	3.50
Potomac Yard	Woodley Park-Zoo/Adams Morgan	7.94	4.00
Potomac Yard	Cleveland Park	8.63	4.25
Potomac Yard	Van Ness-UDC	9.24	4.50
Potomac Yard	Tenleytown-AU	10.06	4.80
Potomac Yard	Friendship Heights	10.84	5.15
Potomac Yard	Bethesda	12.56	5.80
Potomac Yard	Medical Center	13.60	6.00
Potomac Yard	Grosvenor-Strathmore	15.82	6.00
Potomac Yard	North Bethesda	17.20	6.00
Potomac Yard	Twinbrook	18.29	6.00
Potomac Yard	Rockville	20.19	6.00
Potomac Yard	Shady Grove	22.85	6.00
Potomac Yard	Gallery Pl-Chinatown	5.72	3.10
Potomac Yard	Judiciary Square	5.88	3.15
Potomac Yard	Union Station	6.34	3.35
Potomac Yard	Rhode Island Ave-Brentwood	8.08	4.05
Potomac Yard	Brookland-CUA	8.91	4.35
Potomac Yard	Fort Totten	10.08	4.85
Potomac Yard	Takoma	11.76	5.50
Potomac Yard	Silver Spring	13.04	6.00
Potomac Yard	Forest Glen	14.60	6.00
Potomac Yard	Wheaton	16.18	6.00
Potomac Yard	Glenmont	17.90	6.00
Potomac Yard	NoMa-Gallaudet U	7.01	3.60
Potomac Yard	McPherson Square	6.11	3.25
Potomac Yard	Farragut West	6.17	3.25
Potomac Yard	Foggy Bottom-GWU	5.89	3.15
Potomac Yard	Rosslyn	5.15	2.85
Potomac Yard	Arlington Cemetery	4.25	2.50
Potomac Yard	Pentagon	3.02	2.00
Potomac Yard	Pentagon City	2.50	2.00
Potomac Yard	Crystal City	1.95	2.00
Potomac Yard	Ronald Reagan Washington National Airport	1.52	2.00
Potomac Yard	Braddock Road	1.40	2.00
Potomac Yard	King St-Old Town	2.04	2.00
Potomac Yard	Eisenhower Avenue	2.71	2.00
Potomac Yard	Huntington	3.22	2.10
Potomac Yard	Federal Triangle	5.51	3.00
Potomac Yard	Smithsonian	5.13	2.85
Potomac Yard	L'Enfant Plaza	4.83	2.75
Potomac Yard	Federal Center SW	5.05	2.80
Potomac Yard	Capitol South	5.48	3.00
Potomac Yard	Eastern Market	5.87	3.15
Potomac Yard	Potomac Ave	6.27	3.30
Potomac Yard	Stadium-Armory	6.93	3.55
Potomac Yard	Minnesota Ave	8.87	4.35
Potomac Yard	Deanwood	9.75	4.70
Potomac Yard	Cheverly	10.90	5.15
Potomac Yard	Landover	12.71	5.90
Potomac Yard	New Carrollton	14.16	6.00
Potomac Yard	Mt Vernon Sq 7th St-Convention Center	6.27	3.30
Potomac Yard	Shaw-Howard U	6.75	3.50
Potomac Yard	U Street/African-Amer Civil War Memorial/Cardozo	7.07	3.65
Potomac Yard	Columbia Heights	7.86	3.95
Potomac Yard	Georgia Ave-Petworth	8.68	4.25
Potomac Yard	West Hyattsville	11.51	5.40
Potomac Yard	Hyattsville Crossing	12.61	5.85
Potomac Yard	College Park-U of Md	14.36	6.00
Potomac Yard	Greenbelt	16.79	6.00
Potomac Yard	Archives-Navy Memorial-Penn Quarter	5.37	2.95
Potomac Yard	Waterfront	5.00	2.80
Potomac Yard	Navy Yard-Ballpark	5.48	3.00
Potomac Yard	Anacostia	5.94	3.20
Potomac Yard	Congress Heights	6.49	3.40
Potomac Yard	Southern Avenue	7.33	3.75
Potomac Yard	Naylor Road	8.52	4.20
Potomac Yard	Suitland	9.83	4.75
Potomac Yard	Branch Ave	11.24	5.30
Potomac Yard	Benning Road	9.09	4.45
Potomac Yard	Capitol Heights	10.42	4.95
Potomac Yard	Addison Road-Seat Pleasant	11.30	5.30
Potomac Yard	Morgan Boulevard	12.82	5.95
Potomac Yard	Downtown Largo	14.17	6.00
Potomac Yard	Van Dorn Street	5.48	3.00
Potomac Yard	Franconia-Springfield	8.73	4.30
Potomac Yard	Court House	5.69	3.10
Potomac Yard	Clarendon	5.96	3.20
Potomac Yard	Virginia Square-GMU	6.23	3.30
Potomac Yard	Ballston-MU	6.68	3.45
Potomac Yard	East Falls Church	8.95	4.40
Potomac Yard	West Falls Church	10.99	5.20
Potomac Yard	Dunn Loring-Merrifield	12.86	5.95
Potomac Yard	Vienna/Fairfax-GMU	15.22	6.00
Potomac Yard	McLean	13.21	6.00
Potomac Yard	Tysons	13.72	6.00
Potomac Yard	Greensboro	14.39	6.00
Potomac Yard	Spring Hill	15.05	6.00
Potomac Yard	Wiehle-Reston East	20.60	6.00
Potomac Yard	Reston Town Center	21.72	6.00
Potomac Yard	Herndon	23.01	6.00
Potomac Yard	Innovation Center	24.72	6.00
Potomac Yard	Washington Dulles International Airport	26.52	6.00
Potomac Yard	Loudoun Gateway	28.76	6.00
Potomac Yard	Ashburn	30.69	6.00
