Start	Destination	Distance_mi	Fare_USD
Reston Town Center	Metro Center	19.91	6.00
Reston Town Center	Farragut North	19.96	6.00
Reston Town Center	Dupont Circle	20.07	6.00
Reston Town Center	Woodley Park-Zoo/Adams Morgan	20.35	6.00
Reston Town Center	Cleveland Park	20.53	6.00
Reston Town Center	Van Ness-UDC	20.70	6.00
Reston Town Center	Tenleytown-AU	20.79	6.00
Reston Town Center	Friendship Heights	21.04	6.00
Reston Town Center	Bethesda	21.74	6.00
Reston Town Center	Medical Center	22.27	6.00
Reston Town Center	Grosvenor-Strathmore	23.52	6.00
Reston Town Center	North Bethesda	24.25	6.00
Reston Town Center	Twinbrook	24.85	6.00
Reston Town Center	Rockville	25.71	6.00
Reston Town Center	Shady Grove	27.53	6.00
Reston Town Center	Gallery Pl-Chinatown	20.19	6.00
Reston Town Center	Judiciary Square	20.55	6.00
Reston Town Center	Union Station	21.11	6.00
Reston Town Center	Rhode Island Ave-Brentwood	22.17	6.00
Reston Town Center	Brookland-CUA	22.60	6.00
Reston Town Center	Fort Totten	22.98	6.00
Reston Town Center	Takoma	23.56	6.00
Reston Town Center	Silver Spring	23.99	6.00
Reston Town Center	Forest Glen	24.67	6.00
Reston Town Center	Wheaton	25.51	6.00
Reston Town Center	Glenmont	26.62	6.00
Reston Town Center	NoMa-Gallaudet U	21.50	6.00
Reston Town Center	McPherson Square	19.52	6.00
Reston Town Center	Farragut West	19.15	6.00
Reston Town Center	Foggy Bottom-GWU	18.63	6.00
Reston Town Center	Rosslyn	17.46	6.00
Reston Town Center	Arlington Cemetery	18.24	6.00
Reston Town Center	Pentagon	19.29	6.00
Reston Town Center	Pentagon City	19.55	6.00
Reston Town Center	Crystal City	20.19	6.00
Reston Town Center	Ronald Reagan Washington National Airport	20.68	6.00
Reston Town Center	Potomac Yard	21.72	6.00
Reston Town Center	Braddock Road	22.57	6.00
Reston Town Center	King St-Old Town	22.86	6.00
Reston Town Center	Eisenhower Avenue	23.11	6.00
Reston Town Center	Huntington	23.41	6.00
Reston Town Center	Federal Triangle	20.09	6.00
Reston Town Center	Smithsonian	20.31	6.00
Reston Town Center	L'Enfant Plaza	20.76	6.00
Reston Town Center	Federal Center SW	21.09	6.00
Reston Town Center	Capitol South	21.66	6.00
Reston Town Center	Eastern Market	22.16	6.00
Reston Town Center	Potomac Ave	22.77	6.00
Reston Town Center	Stadium-Armory	23.30	6.00
Reston Town Center	Minnesota Ave	25.07	6.00
Reston Town Center	Deanwood	25.78	6.00
Reston Town Center	Cheverly	26.82	6.00
Reston Town Center	Landover	28.37	6.00
Reston Town Center	New Carrollton	29.60	6.00
Reston Town Center	Mt Vernon Sq 7th St-Convention Center	20.44	6.00
Reston Town Center	Shaw-Howard U	20.65	6.00
Reston Town Center	U Street/African-Amer Civil War Memorial/Cardozo	20.72	6.00
Reston Town Center	Columbia Heights	20.99	6.00
Reston Town Center	Georgia Ave-Petworth	21.65	6.00
Reston Town Center	West Hyattsville	24.87	6.00
Reston Town Center	Hyattsville Crossing	25.86	6.00
Reston Town Center	College Park-U of Md	27.62	6.00
Reston Town Center	Greenbelt	29.44	6.00
Reston Town Center	Archives-Navy Memorial-Penn Quarter	20.43	6.00
Reston Town Center	Waterfront	21.35	6.00
Reston Town Center	Navy Yard-Ballpark	21.97	6.00
Reston Town Center	Anacostia	22.95	6.00
Reston Town Center	Congress Heights	23.98	6.00
Reston Town Center	Southern Avenue	24.90	6.00
Reston Town Center	Naylor Road	25.88	6.00
Reston Town Center	Suitland	27.28	6.00
Reston Town Center	Branch Ave	28.89	6.00
Reston Town Center	Benning Road	25.56	6.00
Reston Town Center	Capitol Heights	27.02	6.00
Reston Town Center	Addison Road-Seat Pleasant	28.00	6.00
Reston Town Center	Morgan Boulevard	29.42	6.00
Reston Town Center	Downtown Largo	30.69	6.00
Reston Town Center	Van Dorn Street	23.44	6.00
Reston Town Center	Franconia-Springfield	25.30	6.00
Reston Town Center	Court House	16.55	6.00
Reston Town Center	Clarendon	16.11	6.00
Reston Town Center	Virginia Square-GMU	15.72	6.00
Reston Town Center	Ballston-MU	15.19	6.00
Reston Town Center	East Falls Church	12.80	5.90
Reston Town Center	West Falls Church	12.84	5.95
Reston Town Center	Dunn Loring-Merrifield	13.40	6.00
Reston Town Center	Vienna/Fairfax-GMU	13.85	6.00
Reston Town Center	McLean	8.68	4.25
Reston Town Center	Tysons	8.10	4.05
Reston Town Center	Greensboro	7.39	3.75
Reston Town Center	Spring Hill	6.77	3.50
Reston Town Center	Wiehle-Reston East	1.13	2.00
Reston Town Center	Herndon	1.35	2.00
Reston Town Center	Innovation Center	3.05	2.00
Reston Town Center	Washington Dulles International Airport	4.95	2.80
Reston Town Center	Loudoun Gateway	7.04	3.60
Reston Town Center	Ashburn	8.97	4.40
