Start	Destination	Distance_mi	Fare_USD
Rhode Island Ave-Brentwood	Metro Center	2.69	2.00
Rhode Island Ave-Brentwood	Farragut North	3.25	2.10
Rhode Island Ave-Brentwood	Dupont Circle	3.52	2.20
Rhode Island Ave-Brentwood	Woodley Park-Zoo/Adams Morgan	4.31	2.50
Rhode Island Ave-Brentwood	Cleveland Park	4.87	2.75
Rhode Island Ave-Brentwood	Van Ness-UDC	5.41	2.95
Rhode Island Ave-Brentwood	Tenleytown-AU	6.45	3.40
Rhode Island Ave-Brentwood	Friendship Heights	7.13	3.65
Rhode Island Ave-Brentwood	Bethesda	8.65	4.25
Rhode Island Ave-Brentwood	Medical Center	9.58	4.65
Rhode Island Ave-Brentwood	Grosvenor-Strathmore	11.64	5.45
Rhode Island Ave-Brentwood	North Bethesda	13.00	6.00
Rhode Island Ave-Brentwood	Twinbrook	14.08	6.00
Rhode Island Ave-Brentwood	Rockville	16.08	6.00
Rhode Island Ave-Brentwood	Shady Grove	18.71	6.00
Rhode Island Ave-Brentwood	Gallery Pl-Chinatown	2.45	2.00
Rhode Island Ave-Brentwood	Judiciary Square	2.22	2.00
Rhode Island Ave-Brentwood	Union Station	1.74	2.00
Rhode Island Ave-Brentwood	Brookland-CUA	0.85	2.00
Rhode Island Ave-Brentwood	Fort Totten	2.19	2.00
Rhode Island Ave-Brentwood	Takoma	4.05	2.40
Rhode Island Ave-Brentwood	Silver Spring	5.45	3.00
Rhode Island Ave-Brentwood	Forest Glen	7.09	3.65
Rhode Island Ave-Brentwood	Wheaton	8.69	4.30
Rhode Island Ave-Brentwood	Glenmont	10.39	4.95
Rhode Island Ave-Brentwood	NoMa-Gallaudet U	1.07	2.00
Rhode Island Ave-Brentwood	McPherson Square	2.97	2.00
Rhode Island Ave-Brentwood	Farragut West	3.32	2.15
Rhode Island Ave-Brentwood	Foggy Bottom-GWU	3.83	2.35
Rhode Island Ave-Brentwood	Rosslyn	5.07	2.85
Rhode Island Ave-Brentwood	Arlington Cemetery	5.54	3.00
Rhode Island Ave-Brentwood	Pentagon	5.38	2.95
Rhode Island Ave-Brentwood	Pentagon City	5.97	3.20
Rhode Island Ave-Brentwood	Crystal City	6.30	3.30
Rhode Island Ave-Brentwood	Ronald Reagan Washington National Airport	6.61	3.45
Rhode Island Ave-Brentwood	Potomac Yard	8.08	4.05
Rhode Island Ave-Brentwood	Braddock Road	9.48	4.60
Rhode Island Ave-Brentwood	King St-Old Town	10.12	4.85
Rhode Island Ave-Brentwood	Eisenhower Avenue	10.78	5.10
Rhode Island Ave-Brentwood	Huntington	11.30	5.30
Rhode Island Ave-Brentwood	Federal Triangle	2.95	2.00
Rhode Island Ave-Brentwood	Smithsonian	3.29	2.10
Rhode Island Ave-Brentwood	L'Enfant Plaza	3.26	2.10
Rhode Island Ave-Brentwood	Federal Center SW	3.36	2.15
Rhode Island Ave-Brentwood	Capitol South	3.56	2.20
Rhode Island Ave-Brentwood	Eastern Market	3.81	2.30
Rhode Island Ave-Brentwood	Potomac Ave	4.26	2.50
Rhode Island Ave-Brentwood	Stadium-Armory	4.50	2.60
Rhode Island Ave-Brentwood	Minnesota Ave	5.79	3.10
Rhode Island Ave-Brentwood	Deanwood	6.41	3.35
Rhode Island Ave-Brentwood	Cheverly	7.44	3.80
Rhode Island Ave-Brentwood	Landover	9.06	4.40
Rhode Island Ave-Brentwood	New Carrollton	10.40	4.95
Rhode Island Ave-Brentwood	Mt Vernon Sq 7th St-Convention Center	2.53	2.00
Rhode Island Ave-Brentwood	Shaw-Howard U	2.65	2.00
Rhode Island Ave-Brentwood	U Street/African-Amer Civil War Memorial/Cardozo	3.01	2.00
Rhode Island Ave-Brentwood	Columbia Heights	3.36	2.15
Rhode Island Ave-Brentwood	Georgia Ave-Petworth	2.84	2.00
Rhode Island Ave-Brentwood	West Hyattsville	3.47	2.20
Rhode Island Ave-Brentwood	Hyattsville Crossing	4.59	2.65
Rhode Island Ave-Brentwood	College Park-U of Md	6.40	3.35
Rhode Island Ave-Brentwood	Greenbelt	8.79	4.30
Rhode Island Ave-Brentwood	Archives-Navy Memorial-Penn Quarter	2.75	2.00
Rhode Island Ave-Brentwood	Waterfront	3.88	2.35
Rhode Island Ave-Brentwood	Navy Yard-Ballpark	4.11	2.45
Rhode Island Ave-Brentwood	Anacostia	5.13	2.85
Rhode Island Ave-Brentwood	Congress Heights	6.40	3.35
Rhode Island Ave-Brentwood	Southern Avenue	7.13	3.65
Rhode Island Ave-Brentwood	Naylor Road	7.57	3.85
Rhode Island Ave-Brentwood	Suitland	8.80	4.30
Rhode Island Ave-Brentwood	Branch Ave	10.49	5.00
Rhode Island Ave-Brentwood	Benning Road	6.35	3.35
Rhode Island Ave-Brentwood	Capitol Heights	7.74	3.90
Rhode Island Ave-Brentwood	Addison Road-Seat Pleasant	8.71	4.30
Rhode Island Ave-Brentwood	Morgan Boulevard	10.07	4.85
Rhode Island Ave-Brentwood	Downtown Largo	11.31	5.30
Rhode Island Ave-Brentwood	Van Dorn Street	13.24	6.00
Rhode Island Ave-Brentwood	Franconia-Springfield	16.55	6.00
Rhode Island Ave-Brentwood	Court House	6.10	3.25
Rhode Island Ave-Brentwood	Clarendon	6.60	3.45
Rhode Island Ave-Brentwood	Virginia Square-GMU	7.07	3.65
Rhode Island Ave-Brentwood	Ballston-MU	7.62	3.85
Rhode Island Ave-Brentwood	East Falls Church	9.94	4.80
Rhode Island Ave-Brentwood	West Falls Church	11.73	5.50
Rhode Island Ave-Brentwood	Dunn Loring-Merrifield	14.03	6.00
Rhode Island Ave-Brentwood	Vienna/Fairfax-GMU	16.52	6.00
Rhode Island Ave-Brentwood	McLean	13.55	6.00
Rhode Island Ave-Brentwood	Tysons	14.18	6.00
Rhode Island Ave-Brentwood	Greensboro	14.89	6.00
Rhode Island Ave-Brentwood	Spring Hill	15.44	6.00
Rhode Island Ave-Brentwood	Wiehle-Reston East	21.06	6.00
Rhode Island Ave-Brentwood	Reston Town Center	22.17	6.00
Rhode Island Ave-Brentwood	Herndon	23.51	6.00
Rhode Island Ave-Brentwood	Innovation Center	25.21	6.00
Rhode Island Ave-Brentwood	Washington Dulles International Airport	27.12	6.00
Rhode Island Ave-Brentwood	Loudoun Gateway	29.07	6.00
Rhode Island Ave-Brentwood	Ashburn	30.95	6.00
