Start	Destination	Distance_mi	Fare_USD
Rockville	Metro Center	14.77	6.00
Rockville	Farragut North	14.10	6.00
Rockville	Dupont Circle	13.58	6.00
Rockville	Woodley Park-Zoo/Adams Morgan	12.39	5.75
Rockville	Cleveland Park	11.69	5.50
Rockville	Van Ness-UDC	11.06	5.20
Rockville	Tenleytown-AU	10.15	4.85
Rockville	Friendship Heights	9.37	4.55
Rockville	Bethesda	7.66	3.85
Rockville	Medical Center	6.63	3.45
Rockville	Grosvenor-Strathmore	4.45	2.60
Rockville	North Bethesda	3.08	2.05
Rockville	Twinbrook	2.00	2.00
Rockville	Shady Grove	2.67	2.00
Rockville	Gallery Pl-Chinatown	14.98	6.00
Rockville	Judiciary Square	15.31	6.00
Rockville	Union Station	15.72	6.00
Rockville	Rhode Island Ave-Brentwood	16.08	6.00
Rockville	Brookland-CUA	16.20	6.00
Rockville	Fort Totten	16.19	6.00
Rockville	Takoma	16.24	6.00
Rockville	Silver Spring	16.27	6.00
Rockville	Forest Glen	16.38	6.00
Rockville	Wheaton	16.56	6.00
Rockville	Glenmont	17.01	6.00
Rockville	NoMa-Gallaudet U	15.84	6.00
Rockville	McPherson Square	14.84	6.00
Rockville	Farragut West	14.95	6.00
Rockville	Foggy Bottom-GWU	15.13	6.00
Rockville	Rosslyn	15.76	6.00
Rockville	Arlington Cemetery	16.67	6.00
Rockville	Pentagon	17.19	6.00
Rockville	Pentagon City	17.69	6.00
Rockville	Crystal City	18.26	6.00
Rockville	Ronald Reagan Washington National Airport	18.73	6.00
Rockville	Potomac Yard	20.19	6.00
Rockville	Braddock Road	21.48	6.00
Rockville	King St-Old Town	22.01	6.00
Rockville	Eisenhower Avenue	22.51	6.00
Rockville	Huntington	22.98	6.00
Rockville	Federal Triangle	15.06	6.00
Rockville	Smithsonian	15.41	6.00
Rockville	L'Enfant Plaza	15.85	6.00
Rockville	Federal Center SW	16.08	6.00
Rockville	Capitol South	16.51	6.00
Rockville	Eastern Market	16.90	6.00
Rockville	Potomac Ave	17.45	6.00
Rockville	Stadium-Armory	17.77	6.00
Rockville	Minnesota Ave	18.97	6.00
Rockville	Deanwood	19.39	6.00
Rockville	Cheverly	20.11	6.00
Rockville	Landover	21.18	6.00
Rockville	New Carrollton	22.04	6.00
Rockville	Mt Vernon Sq 7th St-Convention Center	15.02	6.00
Rockville	Shaw-Howard U	15.05	6.00
Rockville	U Street/African-Amer Civil War Memorial/Cardozo	15.11	6.00
Rockville	Columbia Heights	15.18	6.00
Rockville	Georgia Ave-Petworth	15.46	6.00
Rockville	West Hyattsville	17.71	6.00
Rockville	Hyattsville Crossing	18.38	6.00
Rockville	College Park-U of Md	19.72	6.00
Rockville	Greenbelt	20.84	6.00
Rockville	Archives-Navy Memorial-Penn Quarter	15.33	6.00
Rockville	Waterfront	16.56	6.00
Rockville	Navy Yard-Ballpark	17.02	6.00
Rockville	Anacostia	18.14	6.00
Rockville	Congress Heights	19.41	6.00
Rockville	Southern Avenue	20.25	6.00
Rockville	Naylor Road	20.83	6.00
Rockville	Suitland	22.09	6.00
Rockville	Branch Ave	23.79	6.00
Rockville	Benning Road	19.55	6.00
Rockville	Capitol Heights	20.80	6.00
Rockville	Addison Road-Seat Pleasant	21.70	6.00
Rockville	Morgan Boulevard	22.81	6.00
Rockville	Downtown Largo	23.83	6.00
Rockville	Van Dorn Street	23.92	6.00
Rockville	Franconia-Springfield	26.82	6.00
Rockville	Court House	16.39	6.00
Rockville	Clarendon	16.71	6.00
Rockville	Virginia Square-GMU	17.02	6.00
Rockville	Ballston-MU	17.30	6.00
Rockville	East Falls Church	18.37	6.00
Rockville	West Falls Church	18.99	6.00
Rockville	Dunn Loring-Merrifield	21.01	6.00
Rockville	Vienna/Fairfax-GMU	22.90	6.00
Rockville	McLean	19.64	6.00
Rockville	Tysons	20.18	6.00
Rockville	Greensboro	20.65	6.00
Rockville	Spring Hill	20.83	6.00
Rockville	Wiehle-Reston East	24.85	6.00
Rockville	Reston Town Center	25.71	6.00
Rockville	Herndon	26.93	6.00
Rockville	Innovation Center	28.32	6.00
Rockville	Washington Dulles International Airport	30.22	6.00
Rockville	Loudoun Gateway	31.44	6.00
Rockville	Ashburn	33.06	6.00
