Start	Destination	Distance_mi	Fare_USD
Ronald Reagan Washington National Airport	Metro Center	4.29	2.50
Ronald Reagan Washington National Airport	Farragut North	4.80	2.70
Ronald Reagan Washington National Airport	Dupont Circle	5.29	2.90
Ronald Reagan Washington National Airport	Woodley Park-Zoo/Adams Morgan	6.44	3.40
Ronald Reagan Washington National Airport	Cleveland Park	7.13	3.65
Ronald Reagan Washington National Airport	Van Ness-UDC	7.74	3.90
Ronald Reagan Washington National Airport	Tenleytown-AU	8.59	4.25
Ronald Reagan Washington National Airport	Friendship Heights	9.37	4.55
Ronald Reagan Washington National Airport	Bethesda	11.08	5.25
Ronald Reagan Washington National Airport	Medical Center	12.13	5.65
Ronald Reagan Washington National Airport	Grosvenor-Strathmore	14.35	6.00
Ronald Reagan Washington National Airport	North Bethesda	15.73	6.00
Ronald Reagan Washington National Airport	Twinbrook	16.82	6.00
Ronald Reagan Washington National Airport	Rockville	18.73	6.00
Ronald Reagan Washington National Airport	Shady Grove	21.40	6.00
Ronald Reagan Washington National Airport	Gallery Pl-Chinatown	4.22	2.50
Ronald Reagan Washington National Airport	Judiciary Square	4.40	2.55
Ronald Reagan Washington National Airport	Union Station	4.88	2.75
Ronald Reagan Washington National Airport	Rhode Island Ave-Brentwood	6.61	3.45
Ronald Reagan Washington National Airport	Brookland-CUA	7.43	3.75
Ronald Reagan Washington National Airport	Fort Totten	8.58	4.25
Ronald Reagan Washington National Airport	Takoma	10.25	4.90
Ronald Reagan Washington National Airport	Silver Spring	11.52	5.40
Ronald Reagan Washington National Airport	Forest Glen	13.08	6.00
Ronald Reagan Washington National Airport	Wheaton	14.67	6.00
Ronald Reagan Washington National Airport	Glenmont	16.39	6.00
Ronald Reagan Washington National Airport	NoMa-Gallaudet U	5.55	3.00
Ronald Reagan Washington National Airport	McPherson Square	4.59	2.65
Ronald Reagan Washington National Airport	Farragut West	4.66	2.65
Ronald Reagan Washington National Airport	Foggy Bottom-GWU	4.38	2.55
Ronald Reagan Washington National Airport	Rosslyn	3.71	2.30
Ronald Reagan Washington National Airport	Arlington Cemetery	2.80	2.00
Ronald Reagan Washington National Airport	Pentagon	1.55	2.00
Ronald Reagan Washington National Airport	Pentagon City	1.15	2.00
Ronald Reagan Washington National Airport	Crystal City	0.51	2.00
Ronald Reagan Washington National Airport	Potomac Yard	1.52	2.00
Ronald Reagan Washington National Airport	Braddock Road	2.91	2.00
Ronald Reagan Washington National Airport	King St-Old Town	3.53	2.20
Ronald Reagan Washington National Airport	Eisenhower Avenue	4.18	2.45
Ronald Reagan Washington National Airport	Huntington	4.69	2.70
Ronald Reagan Washington National Airport	Federal Triangle	4.00	2.40
Ronald Reagan Washington National Airport	Smithsonian	3.63	2.25
Ronald Reagan Washington National Airport	L'Enfant Plaza	3.35	2.15
Ronald Reagan Washington National Airport	Federal Center SW	3.60	2.25
Ronald Reagan Washington National Airport	Capitol South	4.07	2.45
Ronald Reagan Washington National Airport	Eastern Market	4.50	2.60
Ronald Reagan Washington National Airport	Potomac Ave	4.97	2.80
Ronald Reagan Washington National Airport	Stadium-Armory	5.62	3.05
Ronald Reagan Washington National Airport	Minnesota Ave	7.59	3.85
Ronald Reagan Washington National Airport	Deanwood	8.46	4.20
Ronald Reagan Washington National Airport	Cheverly	9.62	4.65
Ronald Reagan Washington National Airport	Landover	11.43	5.35
Ronald Reagan Washington National Airport	New Carrollton	12.87	5.95
Ronald Reagan Washington National Airport	Mt Vernon Sq 7th St-Convention Center	4.77	2.70
Ronald Reagan Washington National Airport	Shaw-Howard U	5.24	2.90
Ronald Reagan Washington National Airport	U Street/African-Amer Civil War Memorial/Cardozo	5.56	3.00
Ronald Reagan Washington National Airport	Columbia Heights	6.35	3.35
Ronald Reagan Washington National Airport	Georgia Ave-Petworth	7.17	3.65
Ronald Reagan Washington National Airport	West Hyattsville	10.04	4.80
Ronald Reagan Washington National Airport	Hyattsville Crossing	11.15	5.25
Ronald Reagan Washington National Airport	College Park-U of Md	12.93	5.95
Ronald Reagan Washington National Airport	Greenbelt	15.35	6.00
Ronald Reagan Washington National Airport	Archives-Navy Memorial-Penn Quarter	3.88	2.35
Ronald Reagan Washington National Airport	Waterfront	3.57	2.25
Ronald Reagan Washington National Airport	Navy Yard-Ballpark	4.12	2.45
Ronald Reagan Washington National Airport	Anacostia	4.76	2.70
Ronald Reagan Washington National Airport	Congress Heights	5.58	3.05
Ronald Reagan Washington National Airport	Southern Avenue	6.49	3.40
Ronald Reagan Washington National Airport	Naylor Road	7.57	3.85
Ronald Reagan Washington National Airport	Suitland	8.94	4.40
Ronald Reagan Washington National Airport	Branch Ave	10.48	5.00
Ronald Reagan Washington National Airport	Benning Road	7.88	3.95
Ronald Reagan Washington National Airport	Capitol Heights	9.26	4.50
Ronald Reagan Washington National Airport	Addison Road-Seat Pleasant	10.19	4.90
Ronald Reagan Washington National Airport	Morgan Boulevard	11.71	5.50
Ronald Reagan Washington National Airport	Downtown Largo	13.05	6.00
Ronald Reagan Washington National Airport	Van Dorn Street	6.73	3.50
Ronald Reagan Washington National Airport	Franconia-Springfield	10.03	4.80
Ronald Reagan Washington National Airport	Court House	4.34	2.55
Ronald Reagan Washington National Airport	Clarendon	4.68	2.65
Ronald Reagan Washington National Airport	Virginia Square-GMU	5.01	2.80
Ronald Reagan Washington National Airport	Ballston-MU	5.51	3.00
Ronald Reagan Washington National Airport	East Falls Church	7.88	3.95
Ronald Reagan Washington National Airport	West Falls Church	9.92	4.75
Ronald Reagan Washington National Airport	Dunn Loring-Merrifield	11.92	5.55
Ronald Reagan Washington National Airport	Vienna/Fairfax-GMU	14.34	6.00
Ronald Reagan Washington National Airport	McLean	12.08	5.65
Ronald Reagan Washington National Airport	Tysons	12.62	5.85
Ronald Reagan Washington National Airport	Greensboro	13.30	6.00
Ronald Reagan Washington National Airport	Spring Hill	13.95	6.00
Ronald Reagan Washington National Airport	Wiehle-Reston East	19.56	6.00
Ronald Reagan Washington National Airport	Reston Town Center	20.68	6.00
Ronald Reagan Washington National Airport	Herndon	21.99	6.00
Ronald Reagan Washington National Airport	Innovation Center	23.70	6.00
Ronald Reagan Washington National Airport	Washington Dulles International Airport	25.53	6.00
Ronald Reagan Washington National Airport	Loudoun Gateway	27.72	6.00
Ronald Reagan Washington National Airport	Ashburn	29.64	6.00
