Start	Destination	Distance_mi	Fare_USD
Rosslyn	Metro Center	2.50	2.00
Rosslyn	Farragut North	2.61	2.00
Rosslyn	Dupont Circle	2.87	2.00
Rosslyn	Woodley Park-Zoo/Adams Morgan	3.72	2.30
Rosslyn	Cleveland Park	4.33	2.55
Rosslyn	Van Ness-UDC	4.90	2.75
Rosslyn	Tenleytown-AU	5.65	3.05
Rosslyn	Friendship Heights	6.42	3.35
Rosslyn	Bethesda	8.13	4.05
Rosslyn	Medical Center	9.18	4.45
Rosslyn	Grosvenor-Strathmore	11.41	5.35
Rosslyn	North Bethesda	12.78	5.90
Rosslyn	Twinbrook	13.86	6.00
Rosslyn	Rockville	15.76	6.00
Rosslyn	Shady Grove	18.42	6.00
Rosslyn	Gallery Pl-Chinatown	2.78	2.00
Rosslyn	Judiciary Square	3.13	2.05
Rosslyn	Union Station	3.71	2.30
Rosslyn	Rhode Island Ave-Brentwood	5.07	2.85
Rosslyn	Brookland-CUA	5.73	3.10
Rosslyn	Fort Totten	6.59	3.45
Rosslyn	Takoma	7.99	4.00
Rosslyn	Silver Spring	9.13	4.45
Rosslyn	Forest Glen	10.61	5.05
Rosslyn	Wheaton	12.15	5.65
Rosslyn	Glenmont	13.86	6.00
Rosslyn	NoMa-Gallaudet U	4.19	2.50
Rosslyn	McPherson Square	2.14	2.00
Rosslyn	Farragut West	1.77	2.00
Rosslyn	Foggy Bottom-GWU	1.25	2.00
Rosslyn	Arlington Cemetery	0.91	2.00
Rosslyn	Pentagon	2.16	2.00
Rosslyn	Pentagon City	2.65	2.00
Rosslyn	Crystal City	3.23	2.10
Rosslyn	Ronald Reagan Washington National Airport	3.71	2.30
Rosslyn	Potomac Yard	5.15	2.85
Rosslyn	Braddock Road	6.47	3.40
Rosslyn	King St-Old Town	7.02	3.60
Rosslyn	Eisenhower Avenue	7.58	3.85
Rosslyn	Huntington	8.07	4.05
Rosslyn	Federal Triangle	2.65	2.00
Rosslyn	Smithsonian	2.85	2.00
Rosslyn	L'Enfant Plaza	3.30	2.10
Rosslyn	Federal Center SW	3.62	2.25
Rosslyn	Capitol South	4.20	2.50
Rosslyn	Eastern Market	4.70	2.70
Rosslyn	Potomac Ave	5.31	2.90
Rosslyn	Stadium-Armory	5.85	3.15
Rosslyn	Minnesota Ave	7.70	3.90
Rosslyn	Deanwood	8.48	4.20
Rosslyn	Cheverly	9.60	4.65
Rosslyn	Landover	11.31	5.30
Rosslyn	New Carrollton	12.67	5.85
Rosslyn	Mt Vernon Sq 7th St-Convention Center	3.14	2.05
Rosslyn	Shaw-Howard U	3.46	2.20
Rosslyn	U Street/African-Amer Civil War Memorial/Cardozo	3.62	2.25
Rosslyn	Columbia Heights	4.20	2.50
Rosslyn	Georgia Ave-Petworth	5.06	2.80
Rosslyn	West Hyattsville	8.33	4.15
Rosslyn	Hyattsville Crossing	9.45	4.60
Rosslyn	College Park-U of Md	11.31	5.30
Rosslyn	Greenbelt	13.62	6.00
Rosslyn	Archives-Navy Memorial-Penn Quarter	2.99	2.00
Rosslyn	Waterfront	3.91	2.35
Rosslyn	Navy Yard-Ballpark	4.52	2.60
Rosslyn	Anacostia	5.55	3.00
Rosslyn	Congress Heights	6.70	3.50
Rosslyn	Southern Avenue	7.61	3.85
Rosslyn	Naylor Road	8.48	4.20
Rosslyn	Suitland	9.88	4.75
Rosslyn	Branch Ave	11.53	5.40
Rosslyn	Benning Road	8.15	4.05
Rosslyn	Capitol Heights	9.61	4.65
Rosslyn	Addison Road-Seat Pleasant	10.58	5.05
Rosslyn	Morgan Boulevard	12.05	5.60
Rosslyn	Downtown Largo	13.36	6.00
Rosslyn	Van Dorn Street	9.54	4.60
Rosslyn	Franconia-Springfield	12.80	5.90
Rosslyn	Court House	1.03	2.00
Rosslyn	Clarendon	1.54	2.00
Rosslyn	Virginia Square-GMU	2.01	2.00
Rosslyn	Ballston-MU	2.55	2.00
Rosslyn	East Falls Church	4.91	2.75
Rosslyn	West Falls Church	6.79	3.50
Rosslyn	Dunn Loring-Merrifield	9.03	4.40
Rosslyn	Vienna/Fairfax-GMU	11.52	5.40
Rosslyn	McLean	8.78	4.30
Rosslyn	Tysons	9.37	4.55
Rosslyn	Greensboro	10.08	4.85
Rosslyn	Spring Hill	10.69	5.10
Rosslyn	Wiehle-Reston East	16.34	6.00
Rosslyn	Reston Town Center	17.46	6.00
Rosslyn	Herndon	18.79	6.00
Rosslyn	Innovation Center	20.51	6.00
Rosslyn	Washington Dulles International Airport	22.38	6.00
Rosslyn	Loudoun Gateway	24.45	6.00
Rosslyn	Ashburn	26.36	6.00
