Start	Destination	Distance_mi	Fare_USD
Shady Grove	Metro Center	17.44	6.00
Shady Grove	Farragut North	16.76	6.00
Shady Grove	Dupont Circle	16.25	6.00
Shady Grove	Woodley Park-Zoo/Adams Morgan	15.06	6.00
Shady Grove	Cleveland Park	14.35	6.00
Shady Grove	Van Ness-UDC	13.72	6.00
Shady Grove	Tenleytown-AU	12.81	5.90
Shady Grove	Friendship Heights	12.04	5.60
Shady Grove	Bethesda	10.32	4.95
Shady Grove	Medical Center	9.29	4.50
Shady Grove	Grosvenor-Strathmore	7.10	3.65
Shady Grove	North Bethesda	5.73	3.10
Shady Grove	Twinbrook	4.64	2.65
Shady Grove	Rockville	2.67	2.00
Shady Grove	Gallery Pl-Chinatown	17.64	6.00
Shady Grove	Judiciary Square	17.97	6.00
Shady Grove	Union Station	18.37	6.00
Shady Grove	Rhode Island Ave-Brentwood	18.71	6.00
Shady Grove	Brookland-CUA	18.82	6.00
Shady Grove	Fort Totten	18.80	6.00
Shady Grove	Takoma	18.84	6.00
Shady Grove	Silver Spring	18.85	6.00
Shady Grove	Forest Glen	18.93	6.00
Shady Grove	Wheaton	19.04	6.00
Shady Grove	Glenmont	19.33	6.00
Shady Grove	NoMa-Gallaudet U	18.49	6.00
Shady Grove	McPherson Square	17.51	6.00
Shady Grove	Farragut West	17.62	6.00
Shady Grove	Foggy Bottom-GWU	17.80	6.00
Shady Grove	Rosslyn	18.42	6.00
Shady Grove	Arlington Cemetery	19.33	6.00
Shady Grove	Pentagon	19.85	6.00
Shady Grove	Pentagon City	20.35	6.00
Shady Grove	Crystal City	20.92	6.00
Shady Grove	Ronald Reagan Washington National Airport	21.40	6.00
Shady Grove	Potomac Yard	22.85	6.00
Shady Grove	Braddock Road	24.14	6.00
Shady Grove	King St-Old Town	24.66	6.00
Shady Grove	Eisenhower Avenue	25.16	6.00
Shady Grove	Huntington	25.62	6.00
Shady Grove	Federal Triangle	17.72	6.00
Shady Grove	Smithsonian	18.08	6.00
Shady Grove	L'Enfant Plaza	18.51	6.00
Shady Grove	Federal Center SW	18.74	6.00
Shady Grove	Capitol South	19.17	6.00
Shady Grove	Eastern Market	19.55	6.00
Shady Grove	Potomac Ave	20.10	6.00
Shady Grove	Stadium-Armory	20.41	6.00
Shady Grove	Minnesota Ave	21.58	6.00
Shady Grove	Deanwood	21.97	6.00
Shady Grove	Cheverly	22.67	6.00
Shady Grove	Landover	23.68	6.00
Shady Grove	New Carrollton	24.49	6.00
Shady Grove	Mt Vernon Sq 7th St-Convention Center	17.68	6.00
Shady Grove	Shaw-Howard U	17.71	6.00
Shady Grove	U Street/African-Amer Civil War Memorial/Cardozo	17.77	6.00
Shady Grove	Columbia Heights	17.84	6.00
Shady Grove	Georgia Ave-Petworth	18.11	6.00
Shady Grove	West Hyattsville	20.27	6.00
Shady Grove	Hyattsville Crossing	20.90	6.00
Shady Grove	College Park-U of Md	22.16	6.00
Shady Grove	Greenbelt	23.16	6.00
Shady Grove	Archives-Navy Memorial-Penn Quarter	17.99	6.00
Shady Grove	Waterfront	19.22	6.00
Shady Grove	Navy Yard-Ballpark	19.68	6.00
Shady Grove	Anacostia	20.80	6.00
Shady Grove	Congress Heights	22.07	6.00
Shady Grove	Southern Avenue	22.91	6.00
Shady Grove	Naylor Road	23.48	6.00
Shady Grove	Suitland	24.73	6.00
Shady Grove	Branch Ave	26.42	6.00
Shady Grove	Benning Road	22.16	6.00
Shady Grove	Capitol Heights	23.39	6.00
Shady Grove	Addison Road-Seat Pleasant	24.27	6.00
Shady Grove	Morgan Boulevard	25.35	6.00
Shady Grove	Downtown Largo	26.34	6.00
Shady Grove	Van Dorn Street	26.52	6.00
Shady Grove	Franconia-Springfield	29.38	6.00
Shady Grove	Court House	19.04	6.00
Shady Grove	Clarendon	19.36	6.00
Shady Grove	Virginia Square-GMU	19.66	6.00
Shady Grove	Ballston-MU	19.93	6.00
Shady Grove	East Falls Church	20.93	6.00
Shady Grove	West Falls Church	21.49	6.00
Shady Grove	Dunn Loring-Merrifield	23.42	6.00
Shady Grove	Vienna/Fairfax-GMU	25.19	6.00
Shady Grove	McLean	22.05	6.00
Shady Grove	Tysons	22.56	6.00
Shady Grove	Greensboro	23.00	6.00
Shady Grove	Spring Hill	23.14	6.00
Shady Grove	Wiehle-Reston East	26.75	6.00
Shady Grove	Reston Town Center	27.53	6.00
Shady Grove	Herndon	28.67	6.00
Shady Grove	Innovation Center	29.95	6.00
Shady Grove	Washington Dulles International Airport	31.80	6.00
Shady Grove	Loudoun Gateway	32.84	6.00
Shady Grove	Ashburn	34.36	6.00
