Start	Destination	Distance_mi	Fare_USD
Shaw-Howard U	Metro Center	1.21	2.00
Shaw-Howard U	Farragut North	1.66	2.00
Shaw-Howard U	Dupont Circle	1.91	2.00
Shaw-Howard U	Woodley Park-Zoo/Adams Morgan	2.84	2.00
Shaw-Howard U	Cleveland Park	3.49	2.20
Shaw-Howard U	Van Ness-UDC	4.09	2.45
Shaw-Howard U	Tenleytown-AU	5.11	2.85
Shaw-Howard U	Friendship Heights	5.84	3.15
Shaw-Howard U	Bethesda	7.47	3.80
Shaw-Howard U	Medical Center	8.46	4.20
Shaw-Howard U	Grosvenor-Strathmore	10.61	5.05
Shaw-Howard U	North Bethesda	11.98	5.60
Shaw-Howard U	Twinbrook	13.08	6.00
Shaw-Howard U	Rockville	15.05	6.00
Shaw-Howard U	Shady Grove	17.71	6.00
Shaw-Howard U	Gallery Pl-Chinatown	1.04	2.00
Shaw-Howard U	Judiciary Square	1.32	2.00
Shaw-Howard U	Union Station	1.71	2.00
Shaw-Howard U	Rhode Island Ave-Brentwood	2.65	2.00
Shaw-Howard U	Brookland-CUA	3.34	2.15
Shaw-Howard U	Fort Totten	3.34	2.15
Shaw-Howard U	Takoma	5.04	2.80
Shaw-Howard U	Silver Spring	6.37	3.35
Shaw-Howard U	Forest Glen	7.97	4.00
Shaw-Howard U	Wheaton	9.58	4.65
Shaw-Howard U	Glenmont	11.30	5.30
Shaw-Howard U	NoMa-Gallaudet U	1.92	2.00
Shaw-Howard U	McPherson Square	1.41	2.00
Shaw-Howard U	Farragut West	1.73	2.00
Shaw-Howard U	Foggy Bottom-GWU	2.22	2.00
Shaw-Howard U	Rosslyn	3.46	2.20
Shaw-Howard U	Arlington Cemetery	3.97	2.40
Shaw-Howard U	Pentagon	3.90	2.35
Shaw-Howard U	Pentagon City	4.50	2.60
Shaw-Howard U	Crystal City	4.88	2.75
Shaw-Howard U	Ronald Reagan Washington National Airport	5.24	2.90
Shaw-Howard U	Potomac Yard	6.75	3.50
Shaw-Howard U	Braddock Road	8.15	4.05
Shaw-Howard U	King St-Old Town	8.77	4.30
Shaw-Howard U	Eisenhower Avenue	9.41	4.55
Shaw-Howard U	Huntington	9.93	4.75
Shaw-Howard U	Federal Triangle	1.51	2.00
Shaw-Howard U	Smithsonian	1.89	2.00
Shaw-Howard U	L'Enfant Plaza	1.96	2.00
Shaw-Howard U	Federal Center SW	2.14	2.00
Shaw-Howard U	Capitol South	2.51	2.00
Shaw-Howard U	Eastern Market	2.91	2.00
Shaw-Howard U	Potomac Ave	3.48	2.20
Shaw-Howard U	Stadium-Armory	3.87	2.35
Shaw-Howard U	Minnesota Ave	5.49	3.00
Shaw-Howard U	Deanwood	6.19	3.30
Shaw-Howard U	Cheverly	7.27	3.70
Shaw-Howard U	Landover	8.93	4.35
Shaw-Howard U	New Carrollton	10.28	4.90
Shaw-Howard U	Mt Vernon Sq 7th St-Convention Center	0.48	2.00
Shaw-Howard U	U Street/African-Amer Civil War Memorial/Cardozo	0.43	2.00
Shaw-Howard U	Columbia Heights	1.25	2.00
Shaw-Howard U	Georgia Ave-Petworth	1.96	2.00
Shaw-Howard U	West Hyattsville	4.93	2.75
Shaw-Howard U	Hyattsville Crossing	6.06	3.20
Shaw-Howard U	College Park-U of Md	7.90	3.95
Shaw-Howard U	Greenbelt	10.25	4.90
Shaw-Howard U	Archives-Navy Memorial-Penn Quarter	1.40	2.00
Shaw-Howard U	Waterfront	2.66	2.00
Shaw-Howard U	Navy Yard-Ballpark	3.04	2.00
Shaw-Howard U	Anacostia	4.15	2.45
Shaw-Howard U	Congress Heights	5.44	3.00
Shaw-Howard U	Southern Avenue	6.26	3.30
Shaw-Howard U	Naylor Road	6.86	3.55
Shaw-Howard U	Suitland	8.18	4.05
Shaw-Howard U	Branch Ave	9.88	4.75
Shaw-Howard U	Benning Road	6.00	3.20
Shaw-Howard U	Capitol Heights	7.44	3.80
Shaw-Howard U	Addison Road-Seat Pleasant	8.42	4.15
Shaw-Howard U	Morgan Boulevard	9.83	4.75
Shaw-Howard U	Downtown Largo	11.11	5.25
Shaw-Howard U	Van Dorn Street	11.74	5.50
Shaw-Howard U	Franconia-Springfield	15.05	6.00
Shaw-Howard U	Court House	4.49	2.60
Shaw-Howard U	Clarendon	5.00	2.80
Shaw-Howard U	Virginia Square-GMU	5.46	3.00
Shaw-Howard U	Ballston-MU	6.01	3.20
Shaw-Howard U	East Falls Church	8.33	4.15
Shaw-Howard U	West Falls Church	10.14	4.85
Shaw-Howard U	Dunn Loring-Merrifield	12.43	5.75
Shaw-Howard U	Vienna/Fairfax-GMU	14.92	6.00
Shaw-Howard U	McLean	12.00	5.60
Shaw-Howard U	Tysons	12.62	5.85
Shaw-Howard U	Greensboro	13.33	6.00
Shaw-Howard U	Spring Hill	13.90	6.00
Shaw-Howard U	Wiehle-Reston East	19.53	6.00
Shaw-Howard U	Reston Town Center	20.65	6.00
Shaw-Howard U	Herndon	21.99	6.00
Shaw-Howard U	Innovation Center	23.69	6.00
Shaw-Howard U	Washington Dulles International Airport	25.59	6.00
Shaw-Howard U	Loudoun Gateway	27.57	6.00
Shaw-Howard U	Ashburn	29.46	6.00
