Start	Destination	Distance_mi	Fare_USD
Silver Spring	Metro Center	7.54	3.80
Silver Spring	Farragut North	7.78	3.90
Silver Spring	Dupont Circle	7.81	3.90
Silver Spring	Woodley Park-Zoo/Adams Morgan	7.92	3.95
Silver Spring	Cleveland Park	8.01	4.00
Silver Spring	Van Ness-UDC	8.11	4.05
Silver Spring	Tenleytown-AU	8.74	4.30
Silver Spring	Friendship Heights	8.98	4.40
Silver Spring	Bethesda	9.69	4.70
Silver Spring	Medical Center	10.27	4.90
Silver Spring	Grosvenor-Strathmore	11.94	5.60
Silver Spring	North Bethesda	13.21	6.00
Silver Spring	Twinbrook	14.26	6.00
Silver Spring	Rockville	16.27	6.00
Silver Spring	Shady Grove	18.85	6.00
Silver Spring	Gallery Pl-Chinatown	7.41	3.75
Silver Spring	Judiciary Square	7.35	3.75
Silver Spring	Union Station	7.02	3.60
Silver Spring	Rhode Island Ave-Brentwood	5.45	3.00
Silver Spring	Brookland-CUA	4.65	2.65
Silver Spring	Fort Totten	3.30	2.10
Silver Spring	Takoma	1.41	2.00
Silver Spring	Forest Glen	1.64	2.00
Silver Spring	Wheaton	3.24	2.10
Silver Spring	Glenmont	4.95	2.80
Silver Spring	NoMa-Gallaudet U	6.40	3.35
Silver Spring	McPherson Square	7.67	3.85
Silver Spring	Farragut West	7.86	3.95
Silver Spring	Foggy Bottom-GWU	8.18	4.05
Silver Spring	Rosslyn	9.13	4.45
Silver Spring	Arlington Cemetery	9.93	4.75
Silver Spring	Pentagon	10.07	4.85
Silver Spring	Pentagon City	10.65	5.05
Silver Spring	Crystal City	11.11	5.25
Silver Spring	Ronald Reagan Washington National Airport	11.52	5.40
Silver Spring	Potomac Yard	13.04	6.00
Silver Spring	Braddock Road	14.42	6.00
Silver Spring	King St-Old Town	15.03	6.00
Silver Spring	Eisenhower Avenue	15.63	6.00
Silver Spring	Huntington	16.14	6.00
Silver Spring	Federal Triangle	7.85	3.95
Silver Spring	Smithsonian	8.22	4.10
Silver Spring	L'Enfant Plaza	8.32	4.15
Silver Spring	Federal Center SW	8.50	4.20
Silver Spring	Capitol South	8.83	4.35
Silver Spring	Eastern Market	9.16	4.45
Silver Spring	Potomac Ave	9.66	4.65
Silver Spring	Stadium-Armory	9.90	4.75
Silver Spring	Minnesota Ave	10.97	5.20
Silver Spring	Deanwood	11.36	5.35
Silver Spring	Cheverly	12.09	5.65
Silver Spring	Landover	13.24	6.00
Silver Spring	New Carrollton	14.23	6.00
Silver Spring	Mt Vernon Sq 7th St-Convention Center	6.84	3.55
Silver Spring	Shaw-Howard U	6.37	3.35
Silver Spring	U Street/African-Amer Civil War Memorial/Cardozo	6.00	3.20
Silver Spring	Columbia Heights	5.18	2.85
Silver Spring	Georgia Ave-Petworth	4.41	2.55
Silver Spring	West Hyattsville	4.77	2.70
Silver Spring	Hyattsville Crossing	5.52	3.00
Silver Spring	College Park-U of Md	7.08	3.65
Silver Spring	Greenbelt	8.77	4.30
Silver Spring	Archives-Navy Memorial-Penn Quarter	7.76	3.90
Silver Spring	Waterfront	9.02	4.40
Silver Spring	Navy Yard-Ballpark	9.38	4.55
Silver Spring	Anacostia	10.47	5.00
Silver Spring	Congress Heights	11.75	5.50
Silver Spring	Southern Avenue	12.52	5.80
Silver Spring	Naylor Road	12.98	6.00
Silver Spring	Suitland	14.17	6.00
Silver Spring	Branch Ave	15.85	6.00
Silver Spring	Benning Road	11.55	5.40
Silver Spring	Capitol Heights	12.78	5.90
Silver Spring	Addison Road-Seat Pleasant	13.66	6.00
Silver Spring	Morgan Boulevard	14.80	6.00
Silver Spring	Downtown Largo	15.86	6.00
Silver Spring	Van Dorn Street	17.65	6.00
Silver Spring	Franconia-Springfield	20.87	6.00
Silver Spring	Court House	10.02	4.80
Silver Spring	Clarendon	10.47	5.00
Silver Spring	Virginia Square-GMU	10.90	5.15
Silver Spring	Ballston-MU	11.35	5.35
Silver Spring	East Falls Church	13.19	6.00
Silver Spring	West Falls Church	14.52	6.00
Silver Spring	Dunn Loring-Merrifield	16.90	6.00
Silver Spring	Vienna/Fairfax-GMU	19.28	6.00
Silver Spring	McLean	15.88	6.00
Silver Spring	Tysons	16.53	6.00
Silver Spring	Greensboro	17.20	6.00
Silver Spring	Spring Hill	17.63	6.00
Silver Spring	Wiehle-Reston East	22.93	6.00
Silver Spring	Reston Town Center	23.99	6.00
Silver Spring	Herndon	25.33	6.00
Silver Spring	Innovation Center	26.96	6.00
Silver Spring	Washington Dulles International Airport	28.90	6.00
Silver Spring	Loudoun Gateway	30.60	6.00
Silver Spring	Ashburn	32.41	6.00
