Start	Destination	Distance_mi	Fare_USD
Southern Avenue	Metro Center	5.49	3.00
Southern Avenue	Farragut North	6.22	3.30
Southern Avenue	Dupont Circle	6.72	3.50
Southern Avenue	Woodley Park-Zoo/Adams Morgan	7.90	3.95
Southern Avenue	Cleveland Park	8.60	4.25
Southern Avenue	Van Ness-UDC	9.22	4.50
Southern Avenue	Tenleytown-AU	10.20	4.90
Southern Avenue	Friendship Heights	10.96	5.20
Southern Avenue	Bethesda	12.64	5.85
Southern Avenue	Medical Center	13.64	6.00
Southern Avenue	Grosvenor-Strathmore	15.80	6.00
Southern Avenue	North Bethesda	17.18	6.00
Southern Avenue	Twinbrook	18.27	6.00
Southern Avenue	Rockville	20.25	6.00
Southern Avenue	Shady Grove	22.91	6.00
Southern Avenue	Gallery Pl-Chinatown	5.28	2.90
Southern Avenue	Judiciary Square	5.33	2.95
Southern Avenue	Union Station	5.58	3.05
Southern Avenue	Rhode Island Ave-Brentwood	7.13	3.65
Southern Avenue	Brookland-CUA	7.97	4.00
Southern Avenue	Fort Totten	9.28	4.50
Southern Avenue	Takoma	11.13	5.25
Southern Avenue	Silver Spring	12.52	5.80
Southern Avenue	Forest Glen	14.16	6.00
Southern Avenue	Wheaton	15.76	6.00
Southern Avenue	Glenmont	17.47	6.00
Southern Avenue	NoMa-Gallaudet U	6.17	3.25
Southern Avenue	McPherson Square	5.90	3.15
Southern Avenue	Farragut West	6.20	3.30
Southern Avenue	Foggy Bottom-GWU	6.63	3.45
Southern Avenue	Rosslyn	7.61	3.85
Southern Avenue	Arlington Cemetery	7.11	3.65
Southern Avenue	Pentagon	5.98	3.20
Southern Avenue	Pentagon City	6.33	3.35
Southern Avenue	Crystal City	6.42	3.35
Southern Avenue	Ronald Reagan Washington National Airport	6.49	3.40
Southern Avenue	Potomac Yard	7.33	3.75
Southern Avenue	Braddock Road	8.42	4.15
Southern Avenue	King St-Old Town	9.03	4.40
Southern Avenue	Eisenhower Avenue	9.73	4.70
Southern Avenue	Huntington	10.20	4.90
Southern Avenue	Federal Triangle	5.23	2.90
Southern Avenue	Smithsonian	4.90	2.75
Southern Avenue	L'Enfant Plaza	4.45	2.60
Southern Avenue	Federal Center SW	4.52	2.60
Southern Avenue	Capitol South	4.65	2.65
Southern Avenue	Eastern Market	4.79	2.70
Southern Avenue	Potomac Ave	4.92	2.75
Southern Avenue	Stadium-Armory	5.44	3.00
Southern Avenue	Minnesota Ave	7.05	3.60
Southern Avenue	Deanwood	7.90	3.95
Southern Avenue	Cheverly	8.98	4.40
Southern Avenue	Landover	10.75	5.10
Southern Avenue	New Carrollton	12.19	5.70
Southern Avenue	Mt Vernon Sq 7th St-Convention Center	5.80	3.10
Southern Avenue	Shaw-Howard U	6.26	3.30
Southern Avenue	U Street/African-Amer Civil War Memorial/Cardozo	6.67	3.45
Southern Avenue	Columbia Heights	7.50	3.80
Southern Avenue	Georgia Ave-Petworth	8.16	4.05
Southern Avenue	West Hyattsville	10.31	4.90
Southern Avenue	Hyattsville Crossing	11.32	5.35
Southern Avenue	College Park-U of Md	12.88	5.95
Southern Avenue	Greenbelt	15.33	6.00
Southern Avenue	Archives-Navy Memorial-Penn Quarter	4.95	2.80
Southern Avenue	Waterfront	3.75	2.30
Southern Avenue	Navy Yard-Ballpark	3.24	2.10
Southern Avenue	Anacostia	2.12	2.00
Southern Avenue	Congress Heights	0.92	2.00
Southern Avenue	Naylor Road	1.24	2.00
Southern Avenue	Suitland	2.50	2.00
Southern Avenue	Branch Ave	3.99	2.40
Southern Avenue	Benning Road	7.11	3.65
Southern Avenue	Capitol Heights	8.25	4.10
Southern Avenue	Addison Road-Seat Pleasant	9.05	4.40
Southern Avenue	Morgan Boulevard	10.55	5.00
Southern Avenue	Downtown Largo	11.88	5.55
Southern Avenue	Van Dorn Street	12.75	5.90
Southern Avenue	Franconia-Springfield	15.92	6.00
Southern Avenue	Court House	8.41	4.15
Southern Avenue	Clarendon	8.81	4.30
Southern Avenue	Virginia Square-GMU	9.19	4.50
Southern Avenue	Ballston-MU	9.71	4.70
Southern Avenue	East Falls Church	12.11	5.65
Southern Avenue	West Falls Church	14.13	6.00
Southern Avenue	Dunn Loring-Merrifield	16.16	6.00
Southern Avenue	Vienna/Fairfax-GMU	18.56	6.00
Southern Avenue	McLean	16.27	6.00
Southern Avenue	Tysons	16.82	6.00
Southern Avenue	Greensboro	17.51	6.00
Southern Avenue	Spring Hill	18.15	6.00
Southern Avenue	Wiehle-Reston East	23.77	6.00
Southern Avenue	Reston Town Center	24.90	6.00
Southern Avenue	Herndon	26.21	6.00
Southern Avenue	Innovation Center	27.93	6.00
Southern Avenue	Washington Dulles International Airport	29.76	6.00
Southern Avenue	Loudoun Gateway	31.93	6.00
Southern Avenue	Ashburn	33.85	6.00
