Start	Destination	Distance_mi	Fare_USD
Spring Hill	Metro Center	13.14	6.00
Spring Hill	Farragut North	13.20	6.00
Spring Hill	Dupont Circle	13.32	6.00
Spring Hill	Woodley Park-Zoo/Adams Morgan	13.63	6.00
Spring Hill	Cleveland Park	13.84	6.00
Spring Hill	Van Ness-UDC	14.04	6.00
Spring Hill	Tenleytown-AU	14.17	6.00
Spring Hill	Friendship Heights	14.49	6.00
Spring Hill	Bethesda	15.41	6.00
Spring Hill	Medical Center	16.10	6.00
Spring Hill	Grosvenor-Strathmore	17.72	6.00
Spring Hill	North Bethesda	18.72	6.00
Spring Hill	Twinbrook	19.53	6.00
Spring Hill	Rockville	20.83	6.00
Spring Hill	Shady Grove	23.14	6.00
Spring Hill	Gallery Pl-Chinatown	13.42	6.00
Spring Hill	Judiciary Square	13.78	6.00
Spring Hill	Union Station	14.35	6.00
Spring Hill	Rhode Island Ave-Brentwood	15.44	6.00
Spring Hill	Brookland-CUA	15.91	6.00
Spring Hill	Fort Totten	16.35	6.00
Spring Hill	Takoma	17.07	6.00
Spring Hill	Silver Spring	17.63	6.00
Spring Hill	Forest Glen	18.50	6.00
Spring Hill	Wheaton	19.55	6.00
Spring Hill	Glenmont	20.89	6.00
Spring Hill	NoMa-Gallaudet U	14.75	6.00
Spring Hill	McPherson Square	12.75	5.90
Spring Hill	Farragut West	12.38	5.75
Spring Hill	Foggy Bottom-GWU	11.86	5.55
Spring Hill	Rosslyn	10.69	5.10
Spring Hill	Arlington Cemetery	11.46	5.40
Spring Hill	Pentagon	12.54	5.80
Spring Hill	Pentagon City	12.81	5.90
Spring Hill	Crystal City	13.45	6.00
Spring Hill	Ronald Reagan Washington National Airport	13.95	6.00
Spring Hill	Potomac Yard	15.05	6.00
Spring Hill	Braddock Road	15.98	6.00
Spring Hill	King St-Old Town	16.32	6.00
Spring Hill	Eisenhower Avenue	16.62	6.00
Spring Hill	Huntington	16.96	6.00
Spring Hill	Federal Triangle	13.32	6.00
Spring Hill	Smithsonian	13.54	6.00
Spring Hill	L'Enfant Plaza	13.99	6.00
Spring Hill	Federal Center SW	14.31	6.00
Spring Hill	Capitol South	14.88	6.00
Spring Hill	Eastern Market	15.38	6.00
Spring Hill	Potomac Ave	15.99	6.00
Spring Hill	Stadium-Armory	16.53	6.00
Spring Hill	Minnesota Ave	18.32	6.00
Spring Hill	Deanwood	19.03	6.00
Spring Hill	Cheverly	20.09	6.00
Spring Hill	Landover	21.68	6.00
Spring Hill	New Carrollton	22.95	6.00
Spring Hill	Mt Vernon Sq 7th St-Convention Center	13.69	6.00
Spring Hill	Shaw-Howard U	13.90	6.00
Spring Hill	U Street/African-Amer Civil War Memorial/Cardozo	13.98	6.00
Spring Hill	Columbia Heights	14.28	6.00
Spring Hill	Georgia Ave-Petworth	14.97	6.00
Spring Hill	West Hyattsville	18.25	6.00
Spring Hill	Hyattsville Crossing	19.28	6.00
Spring Hill	College Park-U of Md	21.09	6.00
Spring Hill	Greenbelt	23.05	6.00
Spring Hill	Archives-Navy Memorial-Penn Quarter	13.66	6.00
Spring Hill	Waterfront	14.58	6.00
Spring Hill	Navy Yard-Ballpark	15.20	6.00
Spring Hill	Anacostia	16.19	6.00
Spring Hill	Congress Heights	17.23	6.00
Spring Hill	Southern Avenue	18.15	6.00
Spring Hill	Naylor Road	19.12	6.00
Spring Hill	Suitland	20.52	6.00
Spring Hill	Branch Ave	22.13	6.00
Spring Hill	Benning Road	18.80	6.00
Spring Hill	Capitol Heights	20.25	6.00
Spring Hill	Addison Road-Seat Pleasant	21.23	6.00
Spring Hill	Morgan Boulevard	22.67	6.00
Spring Hill	Downtown Largo	23.95	6.00
Spring Hill	Van Dorn Street	17.20	6.00
Spring Hill	Franconia-Springfield	19.51	6.00
Spring Hill	Court House	9.77	4.70
Spring Hill	Clarendon	9.35	4.55
Spring Hill	Virginia Square-GMU	8.96	4.40
Spring Hill	Ballston-MU	8.45	4.20
Spring Hill	East Falls Church	6.11	3.25
Spring Hill	West Falls Church	6.13	3.25
Spring Hill	Dunn Loring-Merrifield	7.23	3.70
Spring Hill	Vienna/Fairfax-GMU	8.82	4.35
Spring Hill	McLean	1.90	2.00
Spring Hill	Tysons	1.34	2.00
Spring Hill	Greensboro	0.69	2.00
Spring Hill	Wiehle-Reston East	5.65	3.05
Spring Hill	Reston Town Center	6.77	3.50
Spring Hill	Herndon	8.11	4.05
Spring Hill	Innovation Center	9.82	4.75
Spring Hill	Washington Dulles International Airport	11.70	5.50
Spring Hill	Loudoun Gateway	13.78	6.00
Spring Hill	Ashburn	15.70	6.00
