Start	Destination	Distance_mi	Fare_USD
Stadium-Armory	Metro Center	3.39	2.15
Stadium-Armory	Farragut North	4.13	2.45
Stadium-Armory	Dupont Circle	4.57	2.65
Stadium-Armory	Woodley Park-Zoo/Adams Morgan	5.64	3.05
Stadium-Armory	Cleveland Park	6.30	3.30
Stadium-Armory	Van Ness-UDC	6.90	3.55
Stadium-Armory	Tenleytown-AU	7.92	3.95
Stadium-Armory	Friendship Heights	8.65	4.25
Stadium-Armory	Bethesda	10.25	4.90
Stadium-Armory	Medical Center	11.22	5.30
Stadium-Armory	Grosvenor-Strathmore	13.32	6.00
Stadium-Armory	North Bethesda	14.69	6.00
Stadium-Armory	Twinbrook	15.77	6.00
Stadium-Armory	Rockville	17.77	6.00
Stadium-Armory	Shady Grove	20.41	6.00
Stadium-Armory	Gallery Pl-Chinatown	3.10	2.05
Stadium-Armory	Judiciary Square	3.14	2.05
Stadium-Armory	Union Station	3.24	2.10
Stadium-Armory	Rhode Island Ave-Brentwood	4.50	2.60
Stadium-Armory	Brookland-CUA	5.31	2.90
Stadium-Armory	Fort Totten	6.63	3.45
Stadium-Armory	Takoma	8.50	4.20
Stadium-Armory	Silver Spring	9.90	4.75
Stadium-Armory	Forest Glen	11.54	5.40
Stadium-Armory	Wheaton	13.14	6.00
Stadium-Armory	Glenmont	14.84	6.00
Stadium-Armory	NoMa-Gallaudet U	3.66	2.25
Stadium-Armory	McPherson Square	3.79	2.30
Stadium-Armory	Farragut West	4.16	2.45
Stadium-Armory	Foggy Bottom-GWU	4.67	2.65
Stadium-Armory	Rosslyn	5.85	3.15
Stadium-Armory	Arlington Cemetery	5.52	3.00
Stadium-Armory	Pentagon	4.70	2.70
Stadium-Armory	Pentagon City	5.23	2.90
Stadium-Armory	Crystal City	5.43	2.95
Stadium-Armory	Ronald Reagan Washington National Airport	5.62	3.05
Stadium-Armory	Potomac Yard	6.93	3.55
Stadium-Armory	Braddock Road	8.26	4.10
Stadium-Armory	King St-Old Town	8.91	4.35
Stadium-Armory	Eisenhower Avenue	9.60	4.65
Stadium-Armory	Huntington	10.11	4.85
Stadium-Armory	Federal Triangle	3.21	2.10
Stadium-Armory	Smithsonian	3.01	2.00
Stadium-Armory	L'Enfant Plaza	2.59	2.00
Stadium-Armory	Federal Center SW	2.26	2.00
Stadium-Armory	Capitol South	1.68	2.00
Stadium-Armory	Eastern Market	1.18	2.00
Stadium-Armory	Potomac Ave	0.65	2.00
Stadium-Armory	Minnesota Ave	1.97	2.00
Stadium-Armory	Deanwood	2.84	2.00
Stadium-Armory	Cheverly	4.00	2.40
Stadium-Armory	Landover	5.81	3.10
Stadium-Armory	New Carrollton	7.25	3.70
Stadium-Armory	Mt Vernon Sq 7th St-Convention Center	3.50	2.20
Stadium-Armory	Shaw-Howard U	3.87	2.35
Stadium-Armory	U Street/African-Amer Civil War Memorial/Cardozo	4.30	2.50
Stadium-Armory	Columbia Heights	5.09	2.85
Stadium-Armory	Georgia Ave-Petworth	5.63	3.05
Stadium-Armory	West Hyattsville	7.63	3.85
Stadium-Armory	Hyattsville Crossing	8.66	4.25
Stadium-Armory	College Park-U of Md	10.30	4.90
Stadium-Armory	Greenbelt	12.75	5.90
Stadium-Armory	Archives-Navy Memorial-Penn Quarter	2.88	2.00
Stadium-Armory	Waterfront	2.92	2.00
Stadium-Armory	Navy Yard-Ballpark	2.94	2.00
Stadium-Armory	Anacostia	3.63	2.25
Stadium-Armory	Congress Heights	4.78	2.70
Stadium-Armory	Southern Avenue	5.44	3.00
Stadium-Armory	Naylor Road	5.83	3.15
Stadium-Armory	Suitland	7.08	3.65
Stadium-Armory	Branch Ave	8.78	4.30
Stadium-Armory	Benning Road	2.32	2.00
Stadium-Armory	Capitol Heights	3.77	2.30
Stadium-Armory	Addison Road-Seat Pleasant	4.74	2.70
Stadium-Armory	Morgan Boulevard	6.23	3.30
Stadium-Armory	Downtown Largo	7.56	3.80
Stadium-Armory	Van Dorn Street	12.35	5.75
Stadium-Armory	Franconia-Springfield	15.64	6.00
Stadium-Armory	Court House	6.82	3.55
Stadium-Armory	Clarendon	7.30	3.70
Stadium-Armory	Virginia Square-GMU	7.74	3.90
Stadium-Armory	Ballston-MU	8.30	4.10
Stadium-Armory	East Falls Church	10.72	5.10
Stadium-Armory	West Falls Church	12.64	5.85
Stadium-Armory	Dunn Loring-Merrifield	14.85	6.00
Stadium-Armory	Vienna/Fairfax-GMU	17.32	6.00
Stadium-Armory	McLean	14.62	6.00
Stadium-Armory	Tysons	15.22	6.00
Stadium-Armory	Greensboro	15.93	6.00
Stadium-Armory	Spring Hill	16.53	6.00
Stadium-Armory	Wiehle-Reston East	22.18	6.00
Stadium-Armory	Reston Town Center	23.30	6.00
Stadium-Armory	Herndon	24.63	6.00
Stadium-Armory	Innovation Center	26.34	6.00
Stadium-Armory	Washington Dulles International Airport	28.22	6.00
Stadium-Armory	Loudoun Gateway	30.27	6.00
Stadium-Armory	Ashburn	32.17	6.00
