Start	Destination	Distance_mi	Fare_USD
Suitland	Metro Center	7.57	3.85
Suitland	Farragut North	8.32	4.15
Suitland	Dupont Circle	8.80	4.30
Suitland	Woodley Park-Zoo/Adams Morgan	9.93	4.75
Suitland	Cleveland Park	10.60	5.05
Suitland	Van Ness-UDC	11.21	5.30
Suitland	Tenleytown-AU	12.22	5.70
Suitland	Friendship Heights	12.97	6.00
Suitland	Bethesda	14.58	6.00
Suitland	Medical Center	15.55	6.00
Suitland	Grosvenor-Strathmore	17.65	6.00
Suitland	North Bethesda	19.01	6.00
Suitland	Twinbrook	20.10	6.00
Suitland	Rockville	22.09	6.00
Suitland	Shady Grove	24.73	6.00
Suitland	Gallery Pl-Chinatown	7.31	3.70
Suitland	Judiciary Square	7.35	3.75
Suitland	Union Station	7.51	3.80
Suitland	Rhode Island Ave-Brentwood	8.80	4.30
Suitland	Brookland-CUA	9.57	4.65
Suitland	Fort Totten	10.88	5.15
Suitland	Takoma	12.76	5.90
Suitland	Silver Spring	14.17	6.00
Suitland	Forest Glen	15.81	6.00
Suitland	Wheaton	17.40	6.00
Suitland	Glenmont	19.08	6.00
Suitland	NoMa-Gallaudet U	7.99	4.00
Suitland	McPherson Square	7.98	4.00
Suitland	Farragut West	8.32	4.15
Suitland	Foggy Bottom-GWU	8.79	4.30
Suitland	Rosslyn	9.88	4.75
Suitland	Arlington Cemetery	9.42	4.55
Suitland	Pentagon	8.36	4.15
Suitland	Pentagon City	8.76	4.30
Suitland	Crystal City	8.86	4.35
Suitland	Ronald Reagan Washington National Airport	8.94	4.40
Suitland	Potomac Yard	9.83	4.75
Suitland	Braddock Road	10.88	5.15
Suitland	King St-Old Town	11.48	5.40
Suitland	Eisenhower Avenue	12.17	5.65
Suitland	Huntington	12.62	5.85
Suitland	Federal Triangle	7.34	3.75
Suitland	Smithsonian	7.06	3.60
Suitland	L'Enfant Plaza	6.60	3.45
Suitland	Federal Center SW	6.63	3.45
Suitland	Capitol South	6.68	3.45
Suitland	Eastern Market	6.73	3.50
Suitland	Potomac Ave	6.75	3.50
Suitland	Stadium-Armory	7.08	3.65
Suitland	Minnesota Ave	8.17	4.05
Suitland	Deanwood	8.88	4.35
Suitland	Cheverly	9.79	4.70
Suitland	Landover	11.45	5.40
Suitland	New Carrollton	12.84	5.95
Suitland	Mt Vernon Sq 7th St-Convention Center	7.78	3.90
Suitland	Shaw-Howard U	8.18	4.05
Suitland	U Street/African-Amer Civil War Memorial/Cardozo	8.61	4.25
Suitland	Columbia Heights	9.41	4.55
Suitland	Georgia Ave-Petworth	9.96	4.80
Suitland	West Hyattsville	11.66	5.45
Suitland	Hyattsville Crossing	12.56	5.80
Suitland	College Park-U of Md	13.94	6.00
Suitland	Greenbelt	16.33	6.00
Suitland	Archives-Navy Memorial-Penn Quarter	7.03	3.60
Suitland	Waterfront	5.96	3.20
Suitland	Navy Yard-Ballpark	5.37	2.95
Suitland	Anacostia	4.33	2.55
Suitland	Congress Heights	3.37	2.15
Suitland	Southern Avenue	2.50	2.00
Suitland	Naylor Road	1.40	2.00
Suitland	Branch Ave	1.70	2.00
Suitland	Benning Road	8.08	4.05
Suitland	Capitol Heights	8.85	4.35
Suitland	Addison Road-Seat Pleasant	9.49	4.60
Suitland	Morgan Boulevard	10.91	5.15
Suitland	Downtown Largo	12.22	5.70
Suitland	Van Dorn Street	15.22	6.00
Suitland	Franconia-Springfield	18.36	6.00
Suitland	Court House	10.75	5.10
Suitland	Clarendon	11.17	5.25
Suitland	Virginia Square-GMU	11.57	5.45
Suitland	Ballston-MU	12.11	5.65
Suitland	East Falls Church	14.53	6.00
Suitland	West Falls Church	16.53	6.00
Suitland	Dunn Loring-Merrifield	18.60	6.00
Suitland	Vienna/Fairfax-GMU	21.03	6.00
Suitland	McLean	18.62	6.00
Suitland	Tysons	19.19	6.00
Suitland	Greensboro	19.89	6.00
Suitland	Spring Hill	20.52	6.00
Suitland	Wiehle-Reston East	26.16	6.00
Suitland	Reston Town Center	27.28	6.00
Suitland	Herndon	28.60	6.00
Suitland	Innovation Center	30.32	6.00
Suitland	Washington Dulles International Airport	32.16	6.00
Suitland	Loudoun Gateway	34.30	6.00
Suitland	Ashburn	36.21	6.00
