Start	Destination	Distance_mi	Fare_USD
Takoma	Metro Center	6.24	3.30
Takoma	Farragut North	6.52	3.40
Takoma	Dupont Circle	6.58	3.45
Takoma	Woodley Park-Zoo/Adams Morgan	6.77	3.50
Takoma	Cleveland Park	6.93	3.55
Takoma	Van Ness-UDC	7.11	3.65
Takoma	Tenleytown-AU	7.92	3.95
Takoma	Friendship Heights	8.29	4.10
Takoma	Bethesda	9.31	4.50
Takoma	Medical Center	10.04	4.80
Takoma	Grosvenor-Strathmore	11.87	5.55
Takoma	North Bethesda	13.18	6.00
Takoma	Twinbrook	14.24	6.00
Takoma	Rockville	16.24	6.00
Takoma	Shady Grove	18.84	6.00
Takoma	Gallery Pl-Chinatown	6.08	3.25
Takoma	Judiciary Square	6.01	3.20
Takoma	Union Station	5.66	3.05
Takoma	Rhode Island Ave-Brentwood	4.05	2.40
Takoma	Brookland-CUA	3.24	2.10
Takoma	Fort Totten	1.89	2.00
Takoma	Silver Spring	1.41	2.00
Takoma	Forest Glen	3.05	2.00
Takoma	Wheaton	4.64	2.65
Takoma	Glenmont	6.34	3.35
Takoma	NoMa-Gallaudet U	5.02	2.80
Takoma	McPherson Square	6.38	3.35
Takoma	Farragut West	6.61	3.45
Takoma	Foggy Bottom-GWU	6.96	3.60
Takoma	Rosslyn	7.99	4.00
Takoma	Arlington Cemetery	8.74	4.30
Takoma	Pentagon	8.83	4.35
Takoma	Pentagon City	9.42	4.55
Takoma	Crystal City	9.86	4.75
Takoma	Ronald Reagan Washington National Airport	10.25	4.90
Takoma	Potomac Yard	11.76	5.50
Takoma	Braddock Road	13.16	6.00
Takoma	King St-Old Town	13.77	6.00
Takoma	Eisenhower Avenue	14.40	6.00
Takoma	Huntington	14.90	6.00
Takoma	Federal Triangle	6.54	3.40
Takoma	Smithsonian	6.92	3.55
Takoma	L'Enfant Plaza	7.00	3.60
Takoma	Federal Center SW	7.16	3.65
Takoma	Capitol South	7.47	3.80
Takoma	Eastern Market	7.78	3.90
Takoma	Potomac Ave	8.27	4.10
Takoma	Stadium-Armory	8.50	4.20
Takoma	Minnesota Ave	9.56	4.60
Takoma	Deanwood	9.96	4.80
Takoma	Cheverly	10.73	5.10
Takoma	Landover	11.94	5.60
Takoma	New Carrollton	13.01	6.00
Takoma	Mt Vernon Sq 7th St-Convention Center	5.52	3.00
Takoma	Shaw-Howard U	5.04	2.80
Takoma	U Street/African-Amer Civil War Memorial/Cardozo	4.69	2.70
Takoma	Columbia Heights	3.91	2.35
Takoma	Georgia Ave-Petworth	3.09	2.05
Takoma	West Hyattsville	3.43	2.15
Takoma	Hyattsville Crossing	4.27	2.50
Takoma	College Park-U of Md	5.97	3.20
Takoma	Greenbelt	7.90	3.95
Takoma	Archives-Navy Memorial-Penn Quarter	6.44	3.40
Takoma	Waterfront	7.69	3.90
Takoma	Navy Yard-Ballpark	8.02	4.00
Takoma	Anacostia	9.10	4.45
Takoma	Congress Heights	10.37	4.95
Takoma	Southern Avenue	11.13	5.25
Takoma	Naylor Road	11.58	5.45
Takoma	Suitland	12.76	5.90
Takoma	Branch Ave	14.44	6.00
Takoma	Benning Road	10.14	4.85
Takoma	Capitol Heights	11.38	5.35
Takoma	Addison Road-Seat Pleasant	12.28	5.70
Takoma	Morgan Boulevard	13.45	6.00
Takoma	Downtown Largo	14.54	6.00
Takoma	Van Dorn Street	16.53	6.00
Takoma	Franconia-Springfield	19.79	6.00
Takoma	Court House	8.93	4.35
Takoma	Clarendon	9.41	4.55
Takoma	Virginia Square-GMU	9.85	4.75
Takoma	Ballston-MU	10.33	4.95
Takoma	East Falls Church	12.31	5.70
Takoma	West Falls Church	13.78	6.00
Takoma	Dunn Loring-Merrifield	16.16	6.00
Takoma	Vienna/Fairfax-GMU	18.58	6.00
Takoma	McLean	15.27	6.00
Takoma	Tysons	15.91	6.00
Takoma	Greensboro	16.60	6.00
Takoma	Spring Hill	17.07	6.00
Takoma	Wiehle-Reston East	22.48	6.00
Takoma	Reston Town Center	23.56	6.00
Takoma	Herndon	24.90	6.00
Takoma	Innovation Center	26.56	6.00
Takoma	Washington Dulles International Airport	28.49	6.00
Takoma	Loudoun Gateway	30.25	6.00
Takoma	Ashburn	32.09	6.00
