Start	Destination	Distance_mi	Fare_USD
Tenleytown-AU	Metro Center	4.70	2.70
Tenleytown-AU	Farragut North	3.99	2.40
Tenleytown-AU	Dupont Circle	3.48	2.20
Tenleytown-AU	Woodley Park-Zoo/Adams Morgan	2.31	2.00
Tenleytown-AU	Cleveland Park	1.62	2.00
Tenleytown-AU	Van Ness-UDC	1.04	2.00
Tenleytown-AU	Friendship Heights	0.78	2.00
Tenleytown-AU	Bethesda	2.50	2.00
Tenleytown-AU	Medical Center	3.54	2.20
Tenleytown-AU	Grosvenor-Strathmore	5.76	3.10
Tenleytown-AU	North Bethesda	7.14	3.65
Tenleytown-AU	Twinbrook	8.23	4.10
Tenleytown-AU	Rockville	10.15	4.85
Tenleytown-AU	Shady Grove	12.81	5.90
Tenleytown-AU	Gallery Pl-Chinatown	4.93	2.75
Tenleytown-AU	Judiciary Square	5.28	2.90
Tenleytown-AU	Union Station	5.75	3.10
Tenleytown-AU	Rhode Island Ave-Brentwood	6.45	3.40
Tenleytown-AU	Brookland-CUA	6.79	3.50
Tenleytown-AU	Fort Totten	7.12	3.65
Tenleytown-AU	Takoma	7.92	3.95
Tenleytown-AU	Silver Spring	8.74	4.30
Tenleytown-AU	Forest Glen	10.05	4.80
Tenleytown-AU	Wheaton	11.53	5.40
Tenleytown-AU	Glenmont	13.21	6.00
Tenleytown-AU	NoMa-Gallaudet U	5.98	3.20
Tenleytown-AU	McPherson Square	4.75	2.70
Tenleytown-AU	Farragut West	4.83	2.75
Tenleytown-AU	Foggy Bottom-GWU	4.99	2.80
Tenleytown-AU	Rosslyn	5.65	3.05
Tenleytown-AU	Arlington Cemetery	6.54	3.40
Tenleytown-AU	Pentagon	7.05	3.60
Tenleytown-AU	Pentagon City	7.57	3.85
Tenleytown-AU	Crystal City	8.12	4.05
Tenleytown-AU	Ronald Reagan Washington National Airport	8.59	4.25
Tenleytown-AU	Potomac Yard	10.06	4.80
Tenleytown-AU	Braddock Road	11.39	5.35
Tenleytown-AU	King St-Old Town	11.95	5.60
Tenleytown-AU	Eisenhower Avenue	12.49	5.80
Tenleytown-AU	Huntington	12.98	6.00
Tenleytown-AU	Federal Triangle	4.97	2.80
Tenleytown-AU	Smithsonian	5.30	2.90
Tenleytown-AU	L'Enfant Plaza	5.75	3.10
Tenleytown-AU	Federal Center SW	6.01	3.20
Tenleytown-AU	Capitol South	6.49	3.40
Tenleytown-AU	Eastern Market	6.93	3.55
Tenleytown-AU	Potomac Ave	7.52	3.80
Tenleytown-AU	Stadium-Armory	7.92	3.95
Tenleytown-AU	Minnesota Ave	9.45	4.60
Tenleytown-AU	Deanwood	10.06	4.80
Tenleytown-AU	Cheverly	11.04	5.20
Tenleytown-AU	Landover	12.52	5.80
Tenleytown-AU	New Carrollton	13.74	6.00
Tenleytown-AU	Mt Vernon Sq 7th St-Convention Center	5.03	2.80
Tenleytown-AU	Shaw-Howard U	5.11	2.85
Tenleytown-AU	U Street/African-Amer Civil War Memorial/Cardozo	5.16	2.85
Tenleytown-AU	Columbia Heights	5.29	2.90
Tenleytown-AU	Georgia Ave-Petworth	5.83	3.15
Tenleytown-AU	West Hyattsville	9.02	4.40
Tenleytown-AU	Hyattsville Crossing	10.05	4.80
Tenleytown-AU	College Park-U of Md	11.86	5.55
Tenleytown-AU	Greenbelt	13.91	6.00
Tenleytown-AU	Archives-Navy Memorial-Penn Quarter	5.26	2.90
Tenleytown-AU	Waterfront	6.46	3.40
Tenleytown-AU	Navy Yard-Ballpark	6.96	3.60
Tenleytown-AU	Anacostia	8.08	4.05
Tenleytown-AU	Congress Heights	9.33	4.55
Tenleytown-AU	Southern Avenue	10.20	4.90
Tenleytown-AU	Naylor Road	10.89	5.15
Tenleytown-AU	Suitland	12.22	5.70
Tenleytown-AU	Branch Ave	13.92	6.00
Tenleytown-AU	Benning Road	10.00	4.80
Tenleytown-AU	Capitol Heights	11.40	5.35
Tenleytown-AU	Addison Road-Seat Pleasant	12.37	5.75
Tenleytown-AU	Morgan Boulevard	13.72	6.00
Tenleytown-AU	Downtown Largo	14.94	6.00
Tenleytown-AU	Van Dorn Street	14.26	6.00
Tenleytown-AU	Franconia-Springfield	17.43	6.00
Tenleytown-AU	Court House	6.39	3.35
Tenleytown-AU	Clarendon	6.80	3.50
Tenleytown-AU	Virginia Square-GMU	7.19	3.70
Tenleytown-AU	Ballston-MU	7.60	3.85
Tenleytown-AU	East Falls Church	9.38	4.55
Tenleytown-AU	West Falls Church	10.80	5.10
Tenleytown-AU	Dunn Loring-Merrifield	13.18	6.00
Tenleytown-AU	Vienna/Fairfax-GMU	15.60	6.00
Tenleytown-AU	McLean	12.33	5.75
Tenleytown-AU	Tysons	12.98	6.00
Tenleytown-AU	Greensboro	13.68	6.00
Tenleytown-AU	Spring Hill	14.17	6.00
Tenleytown-AU	Wiehle-Reston East	19.69	6.00
Tenleytown-AU	Reston Town Center	20.79	6.00
Tenleytown-AU	Herndon	22.14	6.00
Tenleytown-AU	Innovation Center	23.82	6.00
Tenleytown-AU	Washington Dulles International Airport	25.74	6.00
Tenleytown-AU	Loudoun Gateway	27.62	6.00
Tenleytown-AU	Ashburn	29.49	6.00
