Start	Destination	Distance_mi	Fare_USD
Twinbrook	Metro Center	12.81	5.90
Twinbrook	Farragut North	12.14	5.65
Twinbrook	Dupont Circle	11.63	5.45
Twinbrook	Woodley Park-Zoo/Adams Morgan	10.44	5.00
Twinbrook	Cleveland Park	9.74	4.70
Twinbrook	Van Ness-UDC	9.11	4.45
Twinbrook	Tenleytown-AU	8.23	4.10
Twinbrook	Friendship Heights	7.45	3.80
Twinbrook	Bethesda	5.73	3.10
Twinbrook	Medical Center	4.69	2.70
Twinbrook	Grosvenor-Strathmore	2.48	2.00
Twinbrook	North Bethesda	1.09	2.00
Twinbrook	Rockville	2.00	2.00
Twinbrook	Shady Grove	4.64	2.65
Twinbrook	Gallery Pl-Chinatown	13.01	6.00
Twinbrook	Judiciary Square	13.34	6.00
Twinbrook	Union Station	13.74	6.00
Twinbrook	Rhode Island Ave-Brentwood	14.08	6.00
Twinbrook	Brookland-CUA	14.19	6.00
Twinbrook	Fort Totten	14.18	6.00
Twinbrook	Takoma	14.24	6.00
Twinbrook	Silver Spring	14.26	6.00
Twinbrook	Forest Glen	14.38	6.00
Twinbrook	Wheaton	14.61	6.00
Twinbrook	Glenmont	15.21	6.00
Twinbrook	NoMa-Gallaudet U	13.85	6.00
Twinbrook	McPherson Square	12.89	5.95
Twinbrook	Farragut West	13.00	6.00
Twinbrook	Foggy Bottom-GWU	13.20	6.00
Twinbrook	Rosslyn	13.86	6.00
Twinbrook	Arlington Cemetery	14.77	6.00
Twinbrook	Pentagon	15.28	6.00
Twinbrook	Pentagon City	15.79	6.00
Twinbrook	Crystal City	16.35	6.00
Twinbrook	Ronald Reagan Washington National Airport	16.82	6.00
Twinbrook	Potomac Yard	18.29	6.00
Twinbrook	Braddock Road	19.60	6.00
Twinbrook	King St-Old Town	20.14	6.00
Twinbrook	Eisenhower Avenue	20.66	6.00
Twinbrook	Huntington	21.13	6.00
Twinbrook	Federal Triangle	13.10	6.00
Twinbrook	Smithsonian	13.46	6.00
Twinbrook	L'Enfant Plaza	13.89	6.00
Twinbrook	Federal Center SW	14.12	6.00
Twinbrook	Capitol South	14.53	6.00
Twinbrook	Eastern Market	14.92	6.00
Twinbrook	Potomac Ave	15.47	6.00
Twinbrook	Stadium-Armory	15.77	6.00
Twinbrook	Minnesota Ave	16.97	6.00
Twinbrook	Deanwood	17.38	6.00
Twinbrook	Cheverly	18.11	6.00
Twinbrook	Landover	19.19	6.00
Twinbrook	New Carrollton	20.08	6.00
Twinbrook	Mt Vernon Sq 7th St-Convention Center	13.05	6.00
Twinbrook	Shaw-Howard U	13.08	6.00
Twinbrook	U Street/African-Amer Civil War Memorial/Cardozo	13.14	6.00
Twinbrook	Columbia Heights	13.21	6.00
Twinbrook	Georgia Ave-Petworth	13.47	6.00
Twinbrook	West Hyattsville	15.71	6.00
Twinbrook	Hyattsville Crossing	16.39	6.00
Twinbrook	College Park-U of Md	17.76	6.00
Twinbrook	Greenbelt	18.96	6.00
Twinbrook	Archives-Navy Memorial-Penn Quarter	13.36	6.00
Twinbrook	Waterfront	14.60	6.00
Twinbrook	Navy Yard-Ballpark	15.05	6.00
Twinbrook	Anacostia	16.17	6.00
Twinbrook	Congress Heights	17.45	6.00
Twinbrook	Southern Avenue	18.27	6.00
Twinbrook	Naylor Road	18.84	6.00
Twinbrook	Suitland	20.10	6.00
Twinbrook	Branch Ave	21.79	6.00
Twinbrook	Benning Road	17.54	6.00
Twinbrook	Capitol Heights	18.80	6.00
Twinbrook	Addison Road-Seat Pleasant	19.69	6.00
Twinbrook	Morgan Boulevard	20.81	6.00
Twinbrook	Downtown Largo	21.85	6.00
Twinbrook	Van Dorn Street	22.16	6.00
Twinbrook	Franconia-Springfield	25.14	6.00
Twinbrook	Court House	14.53	6.00
Twinbrook	Clarendon	14.87	6.00
Twinbrook	Virginia Square-GMU	15.20	6.00
Twinbrook	Ballston-MU	15.50	6.00
Twinbrook	East Falls Church	16.69	6.00
Twinbrook	West Falls Church	17.43	6.00
Twinbrook	Dunn Loring-Merrifield	19.56	6.00
Twinbrook	Vienna/Fairfax-GMU	21.57	6.00
Twinbrook	McLean	18.20	6.00
Twinbrook	Tysons	18.77	6.00
Twinbrook	Greensboro	19.30	6.00
Twinbrook	Spring Hill	19.53	6.00
Twinbrook	Wiehle-Reston East	23.92	6.00
Twinbrook	Reston Town Center	24.85	6.00
Twinbrook	Herndon	26.11	6.00
Twinbrook	Innovation Center	27.58	6.00
Twinbrook	Washington Dulles International Airport	29.50	6.00
Twinbrook	Loudoun Gateway	30.85	6.00
Twinbrook	Ashburn	32.53	6.00
