Start	Destination	Distance_mi	Fare_USD
Tysons	Metro Center	11.84	5.55
Tysons	Farragut North	11.90	5.55
Tysons	Dupont Circle	12.03	5.60
Tysons	Woodley Park-Zoo/Adams Morgan	12.37	5.75
Tysons	Cleveland Park	12.60	5.85
Tysons	Van Ness-UDC	12.83	5.95
Tysons	Tenleytown-AU	12.98	6.00
Tysons	Friendship Heights	13.34	6.00
Tysons	Bethesda	14.35	6.00
Tysons	Medical Center	15.11	6.00
Tysons	Grosvenor-Strathmore	16.84	6.00
Tysons	North Bethesda	17.91	6.00
Tysons	Twinbrook	18.77	6.00
Tysons	Rockville	20.18	6.00
Tysons	Shady Grove	22.56	6.00
Tysons	Gallery Pl-Chinatown	12.12	5.65
Tysons	Judiciary Square	12.48	5.80
Tysons	Union Station	13.05	6.00
Tysons	Rhode Island Ave-Brentwood	14.18	6.00
Tysons	Brookland-CUA	14.66	6.00
Tysons	Fort Totten	15.14	6.00
Tysons	Takoma	15.91	6.00
Tysons	Silver Spring	16.53	6.00
Tysons	Forest Glen	17.47	6.00
Tysons	Wheaton	18.59	6.00
Tysons	Glenmont	19.99	6.00
Tysons	NoMa-Gallaudet U	13.46	6.00
Tysons	McPherson Square	11.45	5.40
Tysons	Farragut West	11.08	5.25
Tysons	Foggy Bottom-GWU	10.56	5.00
Tysons	Rosslyn	9.37	4.55
Tysons	Arlington Cemetery	10.14	4.85
Tysons	Pentagon	11.20	5.30
Tysons	Pentagon City	11.48	5.40
Tysons	Crystal City	12.12	5.65
Tysons	Ronald Reagan Washington National Airport	12.62	5.85
Tysons	Potomac Yard	13.72	6.00
Tysons	Braddock Road	14.66	6.00
Tysons	King St-Old Town	15.00	6.00
Tysons	Eisenhower Avenue	15.31	6.00
Tysons	Huntington	15.66	6.00
Tysons	Federal Triangle	12.01	5.60
Tysons	Smithsonian	12.22	5.70
Tysons	L'Enfant Plaza	12.67	5.85
Tysons	Federal Center SW	13.00	6.00
Tysons	Capitol South	13.57	6.00
Tysons	Eastern Market	14.07	6.00
Tysons	Potomac Ave	14.68	6.00
Tysons	Stadium-Armory	15.22	6.00
Tysons	Minnesota Ave	17.02	6.00
Tysons	Deanwood	17.75	6.00
Tysons	Cheverly	18.82	6.00
Tysons	Landover	20.43	6.00
Tysons	New Carrollton	21.71	6.00
Tysons	Mt Vernon Sq 7th St-Convention Center	12.39	5.75
Tysons	Shaw-Howard U	12.62	5.85
Tysons	U Street/African-Amer Civil War Memorial/Cardozo	12.70	5.90
Tysons	Columbia Heights	13.02	6.00
Tysons	Georgia Ave-Petworth	13.73	6.00
Tysons	West Hyattsville	17.04	6.00
Tysons	Hyattsville Crossing	18.08	6.00
Tysons	College Park-U of Md	19.90	6.00
Tysons	Greenbelt	21.91	6.00
Tysons	Archives-Navy Memorial-Penn Quarter	12.35	5.75
Tysons	Waterfront	13.26	6.00
Tysons	Navy Yard-Ballpark	13.88	6.00
Tysons	Anacostia	14.86	6.00
Tysons	Congress Heights	15.90	6.00
Tysons	Southern Avenue	16.82	6.00
Tysons	Naylor Road	17.79	6.00
Tysons	Suitland	19.19	6.00
Tysons	Branch Ave	20.80	6.00
Tysons	Benning Road	17.50	6.00
Tysons	Capitol Heights	18.95	6.00
Tysons	Addison Road-Seat Pleasant	19.93	6.00
Tysons	Morgan Boulevard	21.38	6.00
Tysons	Downtown Largo	22.67	6.00
Tysons	Van Dorn Street	15.94	6.00
Tysons	Franconia-Springfield	18.35	6.00
Tysons	Court House	8.45	4.20
Tysons	Clarendon	8.02	4.00
Tysons	Virginia Square-GMU	7.63	3.85
Tysons	Ballston-MU	7.11	3.65
Tysons	East Falls Church	4.77	2.70
Tysons	West Falls Church	4.80	2.70
Tysons	Dunn Loring-Merrifield	6.18	3.25
Tysons	Vienna/Fairfax-GMU	8.16	4.05
Tysons	McLean	0.65	2.00
Tysons	Greensboro	0.71	2.00
Tysons	Spring Hill	1.34	2.00
Tysons	Wiehle-Reston East	6.97	3.60
Tysons	Reston Town Center	8.10	4.05
Tysons	Herndon	9.42	4.55
Tysons	Innovation Center	11.14	5.25
Tysons	Washington Dulles International Airport	13.00	6.00
Tysons	Loudoun Gateway	15.11	6.00
Tysons	Ashburn	17.03	6.00
