Start	Destination	Distance_mi	Fare_USD
U Street/African-Amer Civil War Memorial/Cardozo	Metro Center	1.55	2.00
U Street/African-Amer Civil War Memorial/Cardozo	Farragut North	1.88	2.00
U Street/African-Amer Civil War Memorial/Cardozo	Dupont Circle	2.05	2.00
U Street/African-Amer Civil War Memorial/Cardozo	Woodley Park-Zoo/Adams Morgan	2.89	2.00
U Street/African-Amer Civil War Memorial/Cardozo	Cleveland Park	3.53	2.20
U Street/African-Amer Civil War Memorial/Cardozo	Van Ness-UDC	4.13	2.45
U Street/African-Amer Civil War Memorial/Cardozo	Tenleytown-AU	5.16	2.85
U Street/African-Amer Civil War Memorial/Cardozo	Friendship Heights	5.89	3.15
U Street/African-Amer Civil War Memorial/Cardozo	Bethesda	7.52	3.80
U Street/African-Amer Civil War Memorial/Cardozo	Medical Center	8.51	4.20
U Street/African-Amer Civil War Memorial/Cardozo	Grosvenor-Strathmore	10.67	5.05
U Street/African-Amer Civil War Memorial/Cardozo	North Bethesda	12.05	5.60
U Street/African-Amer Civil War Memorial/Cardozo	Twinbrook	13.14	6.00
U Street/African-Amer Civil War Memorial/Cardozo	Rockville	15.11	6.00
U Street/African-Amer Civil War Memorial/Cardozo	Shady Grove	17.77	6.00
U Street/African-Amer Civil War Memorial/Cardozo	Gallery Pl-Chinatown	1.42	2.00
U Street/African-Amer Civil War Memorial/Cardozo	Judiciary Square	1.72	2.00
U Street/African-Amer Civil War Memorial/Cardozo	Union Station	2.13	2.00
U Street/African-Amer Civil War Memorial/Cardozo	Rhode Island Ave-Brentwood	3.01	2.00
U Street/African-Amer Civil War Memorial/Cardozo	Brookland-CUA	3.41	2.15
U Street/African-Amer Civil War Memorial/Cardozo	Fort Totten	3.06	2.00
U Street/African-Amer Civil War Memorial/Cardozo	Takoma	4.69	2.70
U Street/African-Amer Civil War Memorial/Cardozo	Silver Spring	6.00	3.20
U Street/African-Amer Civil War Memorial/Cardozo	Forest Glen	7.59	3.85
U Street/African-Amer Civil War Memorial/Cardozo	Wheaton	9.20	4.50
U Street/African-Amer Civil War Memorial/Cardozo	Glenmont	10.92	5.15
U Street/African-Amer Civil War Memorial/Cardozo	NoMa-Gallaudet U	2.35	2.00
U Street/African-Amer Civil War Memorial/Cardozo	McPherson Square	1.69	2.00
U Street/African-Amer Civil War Memorial/Cardozo	Farragut West	1.96	2.00
U Street/African-Amer Civil War Memorial/Cardozo	Foggy Bottom-GWU	2.41	2.00
U Street/African-Amer Civil War Memorial/Cardozo	Rosslyn	3.62	2.25
U Street/African-Amer Civil War Memorial/Cardozo	Arlington Cemetery	4.19	2.50
U Street/African-Amer Civil War Memorial/Cardozo	Pentagon	4.18	2.45
U Street/African-Amer Civil War Memorial/Cardozo	Pentagon City	4.77	2.70
U Street/African-Amer Civil War Memorial/Cardozo	Crystal City	5.18	2.85
U Street/African-Amer Civil War Memorial/Cardozo	Ronald Reagan Washington National Airport	5.56	3.00
U Street/African-Amer Civil War Memorial/Cardozo	Potomac Yard	7.07	3.65
U Street/African-Amer Civil War Memorial/Cardozo	Braddock Road	8.47	4.20
U Street/African-Amer Civil War Memorial/Cardozo	King St-Old Town	9.09	4.45
