Start	Destination	Distance_mi	Fare_USD
Union Station	Metro Center	1.21	2.00
Union Station	Farragut North	1.94	2.00
Union Station	Dupont Circle	2.37	2.00
Union Station	Woodley Park-Zoo/Adams Morgan	3.46	2.20
Union Station	Cleveland Park	4.13	2.45
Union Station	Van Ness-UDC	4.74	2.70
Union Station	Tenleytown-AU	5.75	3.10
Union Station	Friendship Heights	6.50	3.40
Union Station	Bethesda	8.13	4.05
Union Station	Medical Center	9.12	4.45
Union Station	Grosvenor-Strathmore	11.27	5.30
Union Station	North Bethesda	12.64	5.85
Union Station	Twinbrook	13.74	6.00
Union Station	Rockville	15.72	6.00
Union Station	Shady Grove	18.37	6.00
Union Station	Gallery Pl-Chinatown	0.92	2.00
Union Station	Judiciary Square	0.58	2.00
Union Station	Rhode Island Ave-Brentwood	1.74	2.00
Union Station	Brookland-CUA	2.58	2.00
Union Station	Fort Totten	3.86	2.35
Union Station	Takoma	5.66	3.05
Union Station	Silver Spring	7.02	3.60
Union Station	Forest Glen	8.65	4.25
Union Station	Wheaton	10.25	4.90
Union Station	Glenmont	11.97	5.60
Union Station	NoMa-Gallaudet U	0.67	2.00
Union Station	McPherson Square	1.59	2.00
Union Station	Farragut West	1.97	2.00
Union Station	Foggy Bottom-GWU	2.49	2.00
Union Station	Rosslyn	3.71	2.30
Union Station	Arlington Cemetery	4.03	2.40
Union Station	Pentagon	3.72	2.30
Union Station	Pentagon City	4.30	2.50
Union Station	Crystal City	4.59	2.65
Union Station	Ronald Reagan Washington National Airport	4.88	2.75
Union Station	Potomac Yard	6.34	3.35
Union Station	Braddock Road	7.73	3.90
Union Station	King St-Old Town	8.38	4.15
Union Station	Eisenhower Avenue	9.04	4.40
Union Station	Huntington	9.56	4.60
Union Station	Federal Triangle	1.37	2.00
Union Station	Smithsonian	1.64	2.00
Union Station	L'Enfant Plaza	1.55	2.00
Union Station	Federal Center SW	1.62	2.00
Union Station	Capitol South	1.86	2.00
Union Station	Eastern Market	2.22	2.00
Union Station	Potomac Ave	2.80	2.00
Union Station	Stadium-Armory	3.24	2.10
Union Station	Minnesota Ave	5.03	2.80
Union Station	Deanwood	5.82	3.15
Union Station	Cheverly	6.95	3.60
Union Station	Landover	8.70	4.30
Union Station	New Carrollton	10.11	4.85
Union Station	Mt Vernon Sq 7th St-Convention Center	1.29	2.00
Union Station	Shaw-Howard U	1.71	2.00
Union Station	U Street/African-Amer Civil War Memorial/Cardozo	2.13	2.00
Union Station	Columbia Heights	2.96	2.00
Union Station	Georgia Ave-Petworth	3.61	2.25
Union Station	West Hyattsville	5.21	2.90
Union Station	Hyattsville Crossing	6.31	3.30
Union Station	College Park-U of Md	8.09	4.05
Union Station	Greenbelt	10.51	5.00
Union Station	Archives-Navy Memorial-Penn Quarter	1.10	2.00
Union Station	Waterfront	2.14	2.00
Union Station	Navy Yard-Ballpark	2.41	2.00
Union Station	Anacostia	3.49	2.20
Union Station	Congress Heights	4.78	2.70
Union Station	Southern Avenue	5.58	3.05
Union Station	Naylor Road	6.18	3.25
Union Station	Suitland	7.51	3.80
Union Station	Branch Ave	9.21	4.50
Union Station	Benning Road	5.49	3.00
Union Station	Capitol Heights	6.94	3.60
Union Station	Addison Road-Seat Pleasant	7.92	3.95
Union Station	Morgan Boulevard	9.38	4.55
Union Station	Downtown Largo	10.69	5.10
Union Station	Van Dorn Street	11.56	5.40
Union Station	Franconia-Springfield	14.87	6.00
Union Station	Court House	4.71	2.70
Union Station	Clarendon	5.20	2.90
Union Station	Virginia Square-GMU	5.65	3.05
Union Station	Ballston-MU	6.21	3.30
Union Station	East Falls Church	8.61	4.25
Union Station	West Falls Church	10.50	5.00
Union Station	Dunn Loring-Merrifield	12.74	5.90
Union Station	Vienna/Fairfax-GMU	15.22	6.00
Union Station	McLean	12.44	5.80
Union Station	Tysons	13.05	6.00
Union Station	Greensboro	13.76	6.00
Union Station	Spring Hill	14.35	6.00
Union Station	Wiehle-Reston East	19.99	6.00
Union Station	Reston Town Center	21.11	6.00
Union Station	Herndon	22.45	6.00
Union Station	Innovation Center	24.16	6.00
Union Station	Washington Dulles International Airport	26.04	6.00
Union Station	Loudoun Gateway	28.07	6.00
Union Station	Ashburn	29.97	6.00
