Start	Destination	Distance_mi	Fare_USD
Van Dorn Street	Metro Center	10.83	5.15
Van Dorn Street	Farragut North	11.18	5.25
Van Dorn Street	Dupont Circle	11.57	5.45
Van Dorn Street	Woodley Park-Zoo/Adams Morgan	12.53	5.80
Van Dorn Street	Cleveland Park	13.12	6.00
Van Dorn Street	Van Ness-UDC	13.65	6.00
Van Dorn Street	Tenleytown-AU	14.26	6.00
Van Dorn Street	Friendship Heights	14.97	6.00
Van Dorn Street	Bethesda	16.60	6.00
Van Dorn Street	Medical Center	17.62	6.00
Van Dorn Street	Grosvenor-Strathmore	19.80	6.00
Van Dorn Street	North Bethesda	21.13	6.00
Van Dorn Street	Twinbrook	22.16	6.00
Van Dorn Street	Rockville	23.92	6.00
Van Dorn Street	Shady Grove	26.52	6.00
Van Dorn Street	Gallery Pl-Chinatown	10.81	5.10
Van Dorn Street	Judiciary Square	11.03	5.20
Van Dorn Street	Union Station	11.56	5.40
Van Dorn Street	Rhode Island Ave-Brentwood	13.24	6.00
Van Dorn Street	Brookland-CUA	14.02	6.00
Van Dorn Street	Fort Totten	15.05	6.00
Van Dorn Street	Takoma	16.53	6.00
Van Dorn Street	Silver Spring	17.65	6.00
Van Dorn Street	Forest Glen	19.08	6.00
Van Dorn Street	Wheaton	20.58	6.00
Van Dorn Street	Glenmont	22.25	6.00
Van Dorn Street	NoMa-Gallaudet U	12.20	5.70
Van Dorn Street	McPherson Square	11.06	5.20
Van Dorn Street	Farragut West	11.03	5.20
Van Dorn Street	Foggy Bottom-GWU	10.61	5.05
Van Dorn Street	Rosslyn	9.54	4.60
Van Dorn Street	Arlington Cemetery	8.82	4.35
Van Dorn Street	Pentagon	7.86	3.95
Van Dorn Street	Pentagon City	7.27	3.70
Van Dorn Street	Crystal City	6.98	3.60
Van Dorn Street	Ronald Reagan Washington National Airport	6.73	3.50
Van Dorn Street	Potomac Yard	5.48	3.00
Van Dorn Street	Braddock Road	4.35	2.55
Van Dorn Street	King St-Old Town	3.78	2.30
Van Dorn Street	Eisenhower Avenue	3.84	2.35
Van Dorn Street	Huntington	4.00	2.40
Van Dorn Street	Federal Triangle	10.57	5.05
Van Dorn Street	Smithsonian	10.23	4.90
Van Dorn Street	L'Enfant Plaza	10.02	4.80
Van Dorn Street	Federal Center SW	10.30	4.90
Van Dorn Street	Capitol South	10.80	5.10
Van Dorn Street	Eastern Market	11.23	5.30
Van Dorn Street	Potomac Ave	11.70	5.50
Van Dorn Street	Stadium-Armory	12.35	5.75
Van Dorn Street	Minnesota Ave	14.31	6.00
Van Dorn Street	Deanwood	15.19	6.00
Van Dorn Street	Cheverly	16.34	6.00
Van Dorn Street	Landover	18.15	6.00
Van Dorn Street	New Carrollton	19.60	6.00
Van Dorn Street	Mt Vernon Sq 7th St-Convention Center	11.31	5.30
Van Dorn Street	Shaw-Howard U	11.74	5.50
Van Dorn Street	U Street/African-Amer Civil War Memorial/Cardozo	11.99	5.60
Van Dorn Street	Columbia Heights	12.68	5.85
Van Dorn Street	Georgia Ave-Petworth	13.54	6.00
Van Dorn Street	West Hyattsville	16.66	6.00
Van Dorn Street	Hyattsville Crossing	17.78	6.00
Van Dorn Street	College Park-U of Md	19.60	6.00
Van Dorn Street	Greenbelt	21.99	6.00
Van Dorn Street	Archives-Navy Memorial-Penn Quarter	10.50	5.00
Van Dorn Street	Waterfront	10.29	4.90
Van Dorn Street	Navy Yard-Ballpark	10.85	5.15
Van Dorn Street	Anacostia	11.40	5.35
Van Dorn Street	Congress Heights	11.95	5.60
Van Dorn Street	Southern Avenue	12.75	5.90
Van Dorn Street	Naylor Road	13.97	6.00
Van Dorn Street	Suitland	15.22	6.00
Van Dorn Street	Branch Ave	16.51	6.00
Van Dorn Street	Benning Road	14.56	6.00
Van Dorn Street	Capitol Heights	15.90	6.00
Van Dorn Street	Addison Road-Seat Pleasant	16.78	6.00
Van Dorn Street	Morgan Boulevard	18.29	6.00
Van Dorn Street	Downtown Largo	19.64	6.00
Van Dorn Street	Franconia-Springfield	3.31	2.10
Van Dorn Street	Court House	9.73	4.70
Van Dorn Street	Clarendon	9.80	4.70
Van Dorn Street	Virginia Square-GMU	9.87	4.75
Van Dorn Street	Ballston-MU	10.06	4.80
Van Dorn Street	East Falls Church	11.49	5.40
Van Dorn Street	West Falls Church	13.30	6.00
Van Dorn Street	Dunn Loring-Merrifield	14.57	6.00
Van Dorn Street	Vienna/Fairfax-GMU	16.60	6.00
Van Dorn Street	McLean	15.58	6.00
Van Dorn Street	Tysons	15.94	6.00
Van Dorn Street	Greensboro	16.51	6.00
Van Dorn Street	Spring Hill	17.20	6.00
Van Dorn Street	Wiehle-Reston East	22.36	6.00
Van Dorn Street	Reston Town Center	23.44	6.00
Van Dorn Street	Herndon	24.64	6.00
Van Dorn Street	Innovation Center	26.32	6.00
Van Dorn Street	Washington Dulles International Airport	28.00	6.00
Van Dorn Street	Loudoun Gateway	30.42	6.00
Van Dorn Street	Ashburn	32.34	6.00
