Start	Destination	Distance_mi	Fare_USD
Vienna/Fairfax-GMU	Metro Center	14.01	6.00
Vienna/Fairfax-GMU	Farragut North	14.12	6.00
Vienna/Fairfax-GMU	Dupont Circle	14.31	6.00
Vienna/Fairfax-GMU	Woodley Park-Zoo/Adams Morgan	14.78	6.00
Vienna/Fairfax-GMU	Cleveland Park	15.09	6.00
Vienna/Fairfax-GMU	Van Ness-UDC	15.39	6.00
Vienna/Fairfax-GMU	Tenleytown-AU	15.60	6.00
Vienna/Fairfax-GMU	Friendship Heights	16.03	6.00
Vienna/Fairfax-GMU	Bethesda	17.15	6.00
Vienna/Fairfax-GMU	Medical Center	17.93	6.00
Vienna/Fairfax-GMU	Grosvenor-Strathmore	19.69	6.00
Vienna/Fairfax-GMU	North Bethesda	20.74	6.00
Vienna/Fairfax-GMU	Twinbrook	21.57	6.00
Vienna/Fairfax-GMU	Rockville	22.90	6.00
Vienna/Fairfax-GMU	Shady Grove	25.19	6.00
Vienna/Fairfax-GMU	Gallery Pl-Chinatown	14.30	6.00
Vienna/Fairfax-GMU	Judiciary Square	14.64	6.00
Vienna/Fairfax-GMU	Union Station	15.22	6.00
Vienna/Fairfax-GMU	Rhode Island Ave-Brentwood	16.52	6.00
Vienna/Fairfax-GMU	Brookland-CUA	17.08	6.00
Vienna/Fairfax-GMU	Fort Totten	17.68	6.00
Vienna/Fairfax-GMU	Takoma	18.58	6.00
Vienna/Fairfax-GMU	Silver Spring	19.28	6.00
Vienna/Fairfax-GMU	Forest Glen	20.27	6.00
Vienna/Fairfax-GMU	Wheaton	21.43	6.00
Vienna/Fairfax-GMU	Glenmont	22.83	6.00
Vienna/Fairfax-GMU	NoMa-Gallaudet U	15.70	6.00
Vienna/Fairfax-GMU	McPherson Square	13.66	6.00
Vienna/Fairfax-GMU	Farragut West	13.28	6.00
Vienna/Fairfax-GMU	Foggy Bottom-GWU	12.76	5.90
Vienna/Fairfax-GMU	Rosslyn	11.52	5.40
Vienna/Fairfax-GMU	Arlington Cemetery	12.16	5.65
Vienna/Fairfax-GMU	Pentagon	13.07	6.00
Vienna/Fairfax-GMU	Pentagon City	13.25	6.00
Vienna/Fairfax-GMU	Crystal City	13.87	6.00
