Start	Destination	Distance_mi	Fare_USD
Virginia Square-GMU	Metro Center	4.46	2.60
Virginia Square-GMU	Farragut North	4.61	2.65
Virginia Square-GMU	Dupont Circle	4.87	2.75
Virginia Square-GMU	Woodley Park-Zoo/Adams Morgan	5.61	3.05
Virginia Square-GMU	Cleveland Park	6.13	3.25
Virginia Square-GMU	Van Ness-UDC	6.62	3.45
Virginia Square-GMU	Tenleytown-AU	7.19	3.70
Virginia Square-GMU	Friendship Heights	7.90	3.95
Virginia Square-GMU	Bethesda	9.55	4.60
Virginia Square-GMU	Medical Center	10.59	5.05
Virginia Square-GMU	Grosvenor-Strathmore	12.79	5.90
Virginia Square-GMU	North Bethesda	14.14	6.00
Virginia Square-GMU	Twinbrook	15.20	6.00
Virginia Square-GMU	Rockville	17.02	6.00
Virginia Square-GMU	Shady Grove	19.66	6.00
Virginia Square-GMU	Gallery Pl-Chinatown	4.75	2.70
Virginia Square-GMU	Judiciary Square	5.07	2.85
Virginia Square-GMU	Union Station	5.65	3.05
Virginia Square-GMU	Rhode Island Ave-Brentwood	7.07	3.65
Virginia Square-GMU	Brookland-CUA	7.73	3.90
Virginia Square-GMU	Fort Totten	8.55	4.20
Virginia Square-GMU	Takoma	9.85	4.75
Virginia Square-GMU	Silver Spring	10.90	5.15
Virginia Square-GMU	Forest Glen	12.29	5.70
Virginia Square-GMU	Wheaton	13.78	6.00
Virginia Square-GMU	Glenmont	15.45	6.00
Virginia Square-GMU	NoMa-Gallaudet U	6.17	3.25
Virginia Square-GMU	McPherson Square	4.13	2.45
Virginia Square-GMU	Farragut West	3.76	2.30
Virginia Square-GMU	Foggy Bottom-GWU	3.25	2.10
Virginia Square-GMU	Rosslyn	2.01	2.00
Virginia Square-GMU	Arlington Cemetery	2.58	2.00
Virginia Square-GMU	Pentagon	3.57	2.25
Virginia Square-GMU	Pentagon City	3.86	2.35
Virginia Square-GMU	Crystal City	4.50	2.60
Virginia Square-GMU	Ronald Reagan Washington National Airport	5.01	2.80
Virginia Square-GMU	Potomac Yard	6.23	3.30
Virginia Square-GMU	Braddock Road	7.37	3.75
Virginia Square-GMU	King St-Old Town	7.85	3.95
Virginia Square-GMU	Eisenhower Avenue	8.31	4.10
Virginia Square-GMU	Huntington	8.76	4.30
Virginia Square-GMU	Federal Triangle	4.58	2.65
Virginia Square-GMU	Smithsonian	4.73	2.70
Virginia Square-GMU	L'Enfant Plaza	5.15	2.85
Virginia Square-GMU	Federal Center SW	5.48	3.00
Virginia Square-GMU	Capitol South	6.06	3.20
Virginia Square-GMU	Eastern Market	6.56	3.40
Virginia Square-GMU	Potomac Ave	7.16	3.65
Virginia Square-GMU	Stadium-Armory	7.74	3.90
Virginia Square-GMU	Minnesota Ave	9.64	4.65
Virginia Square-GMU	Deanwood	10.44	5.00
Virginia Square-GMU	Cheverly	11.57	5.45
Virginia Square-GMU	Landover	13.29	6.00
Virginia Square-GMU	New Carrollton	14.67	6.00
Virginia Square-GMU	Mt Vernon Sq 7th St-Convention Center	5.13	2.85
Virginia Square-GMU	Shaw-Howard U	5.46	3.00
Virginia Square-GMU	U Street/African-Amer Civil War Memorial/Cardozo	5.63	3.05
Virginia Square-GMU	Columbia Heights	6.17	3.25
Virginia Square-GMU	Georgia Ave-Petworth	7.02	3.60
Virginia Square-GMU	West Hyattsville	10.33	4.95
Virginia Square-GMU	Hyattsville Crossing	11.45	5.40
Virginia Square-GMU	College Park-U of Md	13.30	6.00
Virginia Square-GMU	Greenbelt	15.59	6.00
Virginia Square-GMU	Archives-Navy Memorial-Penn Quarter	4.91	2.75
Virginia Square-GMU	Waterfront	5.68	3.05
Virginia Square-GMU	Navy Yard-Ballpark	6.31	3.30
Virginia Square-GMU	Anacostia	7.25	3.70
Virginia Square-GMU	Congress Heights	8.27	4.10
Virginia Square-GMU	Southern Avenue	9.19	4.50
Virginia Square-GMU	Naylor Road	10.17	4.85
Virginia Square-GMU	Suitland	11.57	5.45
Virginia Square-GMU	Branch Ave	13.17	6.00
Virginia Square-GMU	Benning Road	10.05	4.80
Virginia Square-GMU	Capitol Heights	11.51	5.40
Virginia Square-GMU	Addison Road-Seat Pleasant	12.48	5.80
Virginia Square-GMU	Morgan Boulevard	13.97	6.00
Virginia Square-GMU	Downtown Largo	15.29	6.00
Virginia Square-GMU	Van Dorn Street	9.87	4.75
Virginia Square-GMU	Franconia-Springfield	13.05	6.00
Virginia Square-GMU	Court House	0.98	2.00
Virginia Square-GMU	Clarendon	0.47	2.00
Virginia Square-GMU	Ballston-MU	0.56	2.00
Virginia Square-GMU	East Falls Church	2.98	2.00
Virginia Square-GMU	West Falls Church	4.96	2.80
Virginia Square-GMU	Dunn Loring-Merrifield	7.11	3.65
Virginia Square-GMU	Vienna/Fairfax-GMU	9.58	4.65
Virginia Square-GMU	McLean	7.08	3.65
Virginia Square-GMU	Tysons	7.63	3.85
Virginia Square-GMU	Greensboro	8.33	4.15
Virginia Square-GMU	Spring Hill	8.96	4.40
Virginia Square-GMU	Wiehle-Reston East	14.59	6.00
Virginia Square-GMU	Reston Town Center	15.72	6.00
Virginia Square-GMU	Herndon	17.03	6.00
Virginia Square-GMU	Innovation Center	18.75	6.00
Virginia Square-GMU	Washington Dulles International Airport	20.60	6.00
Virginia Square-GMU	Loudoun Gateway	22.74	6.00
Virginia Square-GMU	Ashburn	24.66	6.00
