Start	Destination	Distance_mi	Fare_USD
Washington Dulles International Airport	Metro Center	24.84	6.00
Washington Dulles International Airport	Farragut North	24.89	6.00
Washington Dulles International Airport	Dupont Circle	25.01	6.00
Washington Dulles International Airport	Woodley Park-Zoo/Adams Morgan	25.30	6.00
Washington Dulles International Airport	Cleveland Park	25.48	6.00
Washington Dulles International Airport	Van Ness-UDC	25.65	6.00
Washington Dulles International Airport	Tenleytown-AU	25.74	6.00
Washington Dulles International Airport	Friendship Heights	25.99	6.00
Washington Dulles International Airport	Bethesda	26.66	6.00
Washington Dulles International Airport	Medical Center	27.16	6.00
Washington Dulles International Airport	Grosvenor-Strathmore	28.32	6.00
Washington Dulles International Airport	North Bethesda	28.97	6.00
Washington Dulles International Airport	Twinbrook	29.50	6.00
Washington Dulles International Airport	Rockville	30.22	6.00
Washington Dulles International Airport	Shady Grove	31.80	6.00
Washington Dulles International Airport	Gallery Pl-Chinatown	25.12	6.00
Washington Dulles International Airport	Judiciary Square	25.48	6.00
Washington Dulles International Airport	Union Station	26.04	6.00
Washington Dulles International Airport	Rhode Island Ave-Brentwood	27.12	6.00
Washington Dulles International Airport	Brookland-CUA	27.55	6.00
Washington Dulles International Airport	Fort Totten	27.93	6.00
Washington Dulles International Airport	Takoma	28.49	6.00
Washington Dulles International Airport	Silver Spring	28.90	6.00
Washington Dulles International Airport	Forest Glen	29.54	6.00
Washington Dulles International Airport	Wheaton	30.32	6.00
Washington Dulles International Airport	Glenmont	31.36	6.00
Washington Dulles International Airport	NoMa-Gallaudet U	26.44	6.00
Washington Dulles International Airport	McPherson Square	24.45	6.00
Washington Dulles International Airport	Farragut West	24.07	6.00
Washington Dulles International Airport	Foggy Bottom-GWU	23.56	6.00
Washington Dulles International Airport	Rosslyn	22.38	6.00
Washington Dulles International Airport	Arlington Cemetery	23.13	6.00
Washington Dulles International Airport	Pentagon	24.16	6.00
Washington Dulles International Airport	Pentagon City	24.40	6.00
Washington Dulles International Airport	Crystal City	25.04	6.00
Washington Dulles International Airport	Ronald Reagan Washington National Airport	25.53	6.00
Washington Dulles International Airport	Potomac Yard	26.52	6.00
Washington Dulles International Airport	Braddock Road	27.31	6.00
Washington Dulles International Airport	King St-Old Town	27.57	6.00
Washington Dulles International Airport	Eisenhower Avenue	27.78	6.00
Washington Dulles International Airport	Huntington	28.05	6.00
Washington Dulles International Airport	Federal Triangle	25.01	6.00
Washington Dulles International Airport	Smithsonian	25.23	6.00
