Start	Destination	Distance_mi	Fare_USD
Waterfront	Metro Center	1.78	2.00
Waterfront	Farragut North	2.47	2.00
Waterfront	Dupont Circle	2.98	2.00
Waterfront	Woodley Park-Zoo/Adams Morgan	4.17	2.45
Waterfront	Cleveland Park	4.88	2.75
Waterfront	Van Ness-UDC	5.51	3.00
Waterfront	Tenleytown-AU	6.46	3.40
Waterfront	Friendship Heights	7.23	3.70
Waterfront	Bethesda	8.92	4.35
Waterfront	Medical Center	9.94	4.80
Waterfront	Grosvenor-Strathmore	12.12	5.65
Waterfront	North Bethesda	13.51	6.00
Waterfront	Twinbrook	14.60	6.00
Waterfront	Rockville	16.56	6.00
Waterfront	Shady Grove	19.22	6.00
Waterfront	Gallery Pl-Chinatown	1.62	2.00
Waterfront	Judiciary Square	1.72	2.00
Waterfront	Union Station	2.14	2.00
Waterfront	Rhode Island Ave-Brentwood	3.88	2.35
Waterfront	Brookland-CUA	4.72	2.70
Waterfront	Fort Totten	5.93	3.15
Waterfront	Takoma	7.69	3.90
Waterfront	Silver Spring	9.02	4.40
Waterfront	Forest Glen	10.63	5.05
Waterfront	Wheaton	12.23	5.70
Waterfront	Glenmont	13.96	6.00
Waterfront	NoMa-Gallaudet U	2.81	2.00
Waterfront	McPherson Square	2.17	2.00
Waterfront	Farragut West	2.46	2.00
Waterfront	Foggy Bottom-GWU	2.87	2.00
Waterfront	Rosslyn	3.91	2.35
Waterfront	Arlington Cemetery	3.48	2.20
Waterfront	Pentagon	2.57	2.00
Waterfront	Pentagon City	3.10	2.05
Waterfront	Crystal City	3.32	2.15
Waterfront	Ronald Reagan Washington National Airport	3.57	2.25
Waterfront	Potomac Yard	5.00	2.80
Waterfront	Braddock Road	6.39	3.35
Waterfront	King St-Old Town	7.03	3.60
Waterfront	Eisenhower Avenue	7.70	3.90
Waterfront	Huntington	8.22	4.10
Waterfront	Federal Triangle	1.50	2.00
Waterfront	Smithsonian	1.15	2.00
Waterfront	L'Enfant Plaza	0.72	2.00
Waterfront	Federal Center SW	0.86	2.00
Waterfront	Capitol South	1.30	2.00
Waterfront	Eastern Market	1.75	2.00
Waterfront	Potomac Ave	2.30	2.00
Waterfront	Stadium-Armory	2.92	2.00
Waterfront	Minnesota Ave	4.89	2.75
Waterfront	Deanwood	5.74	3.10
Waterfront	Cheverly	6.90	3.55
Waterfront	Landover	8.69	4.30
Waterfront	New Carrollton	10.12	4.85
Waterfront	Mt Vernon Sq 7th St-Convention Center	2.18	2.00
Waterfront	Shaw-Howard U	2.66	2.00
Waterfront	U Street/African-Amer Civil War Memorial/Cardozo	3.04	2.00
Waterfront	Columbia Heights	3.87	2.35
Waterfront	Georgia Ave-Petworth	4.62	2.65
Waterfront	West Hyattsville	7.30	3.70
Waterfront	Hyattsville Crossing	8.40	4.15
Waterfront	College Park-U of Md	10.16	4.85
Waterfront	Greenbelt	12.59	5.85
Waterfront	Archives-Navy Memorial-Penn Quarter	1.27	2.00
Waterfront	Navy Yard-Ballpark	0.63	2.00
Waterfront	Anacostia	1.65	2.00
Waterfront	Congress Heights	2.87	2.00
Waterfront	Southern Avenue	3.75	2.30
Waterfront	Naylor Road	4.57	2.65
Waterfront	Suitland	5.96	3.20
Waterfront	Branch Ave	7.62	3.85
Waterfront	Benning Road	5.23	2.90
Waterfront	Capitol Heights	6.67	3.45
Waterfront	Addison Road-Seat Pleasant	7.62	3.85
Waterfront	Morgan Boulevard	9.13	4.45
Waterfront	Downtown Largo	10.46	5.00
Waterfront	Van Dorn Street	10.29	4.90
Waterfront	Franconia-Springfield	13.60	6.00
Waterfront	Court House	4.81	2.70
Waterfront	Clarendon	5.26	2.90
Waterfront	Virginia Square-GMU	5.68	3.05
Waterfront	Ballston-MU	6.23	3.30
Waterfront	East Falls Church	8.66	4.25
Waterfront	West Falls Church	10.63	5.05
Waterfront	Dunn Loring-Merrifield	12.78	5.90
Waterfront	Vienna/Fairfax-GMU	15.24	6.00
Waterfront	McLean	12.68	5.85
Waterfront	Tysons	13.26	6.00
Waterfront	Greensboro	13.96	6.00
Waterfront	Spring Hill	14.58	6.00
Waterfront	Wiehle-Reston East	20.23	6.00
Waterfront	Reston Town Center	21.35	6.00
Waterfront	Herndon	22.68	6.00
Waterfront	Innovation Center	24.39	6.00
Waterfront	Washington Dulles International Airport	26.25	6.00
Waterfront	Loudoun Gateway	28.35	6.00
Waterfront	Ashburn	30.26	6.00
