Start	Destination	Distance_mi	Fare_USD
West Falls Church	Metro Center	9.29	4.50
West Falls Church	Farragut North	9.37	4.55
West Falls Church	Dupont Circle	9.53	4.60
West Falls Church	Woodley Park-Zoo/Adams Morgan	9.97	4.80
West Falls Church	Cleveland Park	10.27	4.90
West Falls Church	Van Ness-UDC	10.56	5.00
West Falls Church	Tenleytown-AU	10.80	5.10
West Falls Church	Friendship Heights	11.26	5.30
West Falls Church	Bethesda	12.50	5.80
West Falls Church	Medical Center	13.37	6.00
West Falls Church	Grosvenor-Strathmore	15.31	6.00
West Falls Church	North Bethesda	16.49	6.00
West Falls Church	Twinbrook	17.43	6.00
West Falls Church	Rockville	18.99	6.00
West Falls Church	Shady Grove	21.49	6.00
West Falls Church	Gallery Pl-Chinatown	9.57	4.65
West Falls Church	Judiciary Square	9.92	4.75
West Falls Church	Union Station	10.50	5.00
West Falls Church	Rhode Island Ave-Brentwood	11.73	5.50
West Falls Church	Brookland-CUA	12.27	5.70
West Falls Church	Fort Totten	12.85	5.95
West Falls Church	Takoma	13.78	6.00
West Falls Church	Silver Spring	14.52	6.00
West Falls Church	Forest Glen	15.61	6.00
West Falls Church	Wheaton	16.86	6.00
West Falls Church	Glenmont	18.37	6.00
West Falls Church	NoMa-Gallaudet U	10.95	5.20
West Falls Church	McPherson Square	8.91	4.35
West Falls Church	Farragut West	8.54	4.20
West Falls Church	Foggy Bottom-GWU	8.01	4.00
West Falls Church	Rosslyn	6.79	3.50
West Falls Church	Arlington Cemetery	7.51	3.80
West Falls Church	Pentagon	8.53	4.20
West Falls Church	Pentagon City	8.78	4.30
West Falls Church	Crystal City	9.42	4.55
West Falls Church	Ronald Reagan Washington National Airport	9.92	4.75
West Falls Church	Potomac Yard	10.99	5.20
West Falls Church	Braddock Road	11.92	5.55
West Falls Church	King St-Old Town	12.27	5.70
West Falls Church	Eisenhower Avenue	12.59	5.85
West Falls Church	Huntington	12.94	6.00
West Falls Church	Federal Triangle	9.44	4.60
West Falls Church	Smithsonian	9.63	4.65
West Falls Church	L'Enfant Plaza	10.07	4.85
West Falls Church	Federal Center SW	10.40	4.95
West Falls Church	Capitol South	10.97	5.20
West Falls Church	Eastern Market	11.48	5.40
West Falls Church	Potomac Ave	12.08	5.65
West Falls Church	Stadium-Armory	12.64	5.85
West Falls Church	Minnesota Ave	14.49	6.00
West Falls Church	Deanwood	15.25	6.00
West Falls Church	Cheverly	16.34	6.00
West Falls Church	Landover	18.00	6.00
West Falls Church	New Carrollton	19.32	6.00
West Falls Church	Mt Vernon Sq 7th St-Convention Center	9.88	4.75
West Falls Church	Shaw-Howard U	10.14	4.85
West Falls Church	U Street/African-Amer Civil War Memorial/Cardozo	10.24	4.90
West Falls Church	Columbia Heights	10.62	5.05
West Falls Church	Georgia Ave-Petworth	11.38	5.35
West Falls Church	West Hyattsville	14.73	6.00
West Falls Church	Hyattsville Crossing	15.81	6.00
West Falls Church	College Park-U of Md	17.65	6.00
West Falls Church	Greenbelt	19.76	6.00
West Falls Church	Archives-Navy Memorial-Penn Quarter	9.78	4.70
West Falls Church	Waterfront	10.63	5.05
West Falls Church	Navy Yard-Ballpark	11.25	5.30
West Falls Church	Anacostia	12.21	5.70
West Falls Church	Congress Heights	13.22	6.00
West Falls Church	Southern Avenue	14.13	6.00
West Falls Church	Naylor Road	15.13	6.00
West Falls Church	Suitland	16.53	6.00
West Falls Church	Branch Ave	18.12	6.00
West Falls Church	Benning Road	14.94	6.00
West Falls Church	Capitol Heights	16.40	6.00
West Falls Church	Addison Road-Seat Pleasant	17.38	6.00
West Falls Church	Morgan Boulevard	18.84	6.00
West Falls Church	Downtown Largo	20.15	6.00
West Falls Church	Van Dorn Street	13.30	6.00
West Falls Church	Franconia-Springfield	15.88	6.00
West Falls Church	Court House	5.83	3.15
West Falls Church	Clarendon	5.37	2.95
West Falls Church	Virginia Square-GMU	4.96	2.80
West Falls Church	Ballston-MU	4.43	2.55
West Falls Church	East Falls Church	2.04	2.00
West Falls Church	Dunn Loring-Merrifield	2.38	2.00
West Falls Church	Vienna/Fairfax-GMU	4.83	2.75
West Falls Church	McLean	4.36	2.55
West Falls Church	Tysons	4.80	2.70
West Falls Church	Greensboro	5.47	3.00
West Falls Church	Spring Hill	6.13	3.25
West Falls Church	Wiehle-Reston East	11.71	5.50
West Falls Church	Reston Town Center	12.84	5.95
West Falls Church	Herndon	14.15	6.00
West Falls Church	Innovation Center	15.86	6.00
West Falls Church	Washington Dulles International Airport	17.70	6.00
West Falls Church	Loudoun Gateway	19.87	6.00
West Falls Church	Ashburn	21.79	6.00
