Start	Destination	Distance_mi	Fare_USD
West Hyattsville	Metro Center	6.10	3.25
West Hyattsville	Farragut North	6.58	3.45
West Hyattsville	Dupont Circle	6.76	3.50
West Hyattsville	Woodley Park-Zoo/Adams Morgan	7.29	3.70
West Hyattsville	Cleveland Park	7.67	3.85
West Hyattsville	Van Ness-UDC	8.04	4.00
West Hyattsville	Tenleytown-AU	9.02	4.40
West Hyattsville	Friendship Heights	9.55	4.60
West Hyattsville	Bethesda	10.78	5.10
West Hyattsville	Medical Center	11.55	5.40
West Hyattsville	Grosvenor-Strathmore	13.38	6.00
West Hyattsville	North Bethesda	14.66	6.00
West Hyattsville	Twinbrook	15.71	6.00
West Hyattsville	Rockville	17.71	6.00
West Hyattsville	Shady Grove	20.27	6.00
West Hyattsville	Gallery Pl-Chinatown	5.85	3.15
West Hyattsville	Judiciary Square	5.69	3.10
West Hyattsville	Union Station	5.21	2.90
West Hyattsville	Rhode Island Ave-Brentwood	3.47	2.20
West Hyattsville	Brookland-CUA	2.68	2.00
West Hyattsville	Fort Totten	1.90	2.00
West Hyattsville	Takoma	3.43	2.15
West Hyattsville	Silver Spring	4.77	2.70
West Hyattsville	Forest Glen	6.34	3.35
West Hyattsville	Wheaton	7.86	3.95
West Hyattsville	Glenmont	9.49	4.60
West Hyattsville	NoMa-Gallaudet U	4.54	2.60
West Hyattsville	McPherson Square	6.34	3.35
West Hyattsville	Farragut West	6.66	3.45
West Hyattsville	Foggy Bottom-GWU	7.13	3.65
West Hyattsville	Rosslyn	8.33	4.15
West Hyattsville	Arlington Cemetery	8.90	4.35
West Hyattsville	Pentagon	8.80	4.30
West Hyattsville	Pentagon City	9.39	4.55
West Hyattsville	Crystal City	9.73	4.70
West Hyattsville	Ronald Reagan Washington National Airport	10.04	4.80
West Hyattsville	Potomac Yard	11.51	5.40
West Hyattsville	Braddock Road	12.90	5.95
West Hyattsville	King St-Old Town	13.54	6.00
West Hyattsville	Eisenhower Avenue	14.21	6.00
West Hyattsville	Huntington	14.72	6.00
West Hyattsville	Federal Triangle	6.37	3.35
West Hyattsville	Smithsonian	6.72	3.50
West Hyattsville	L'Enfant Plaza	6.69	3.50
West Hyattsville	Federal Center SW	6.78	3.50
West Hyattsville	Capitol South	6.95	3.60
West Hyattsville	Eastern Market	7.14	3.65
West Hyattsville	Potomac Ave	7.50	3.80
West Hyattsville	Stadium-Armory	7.63	3.85
West Hyattsville	Minnesota Ave	8.35	4.15
West Hyattsville	Deanwood	8.63	4.25
West Hyattsville	Cheverly	9.29	4.50
West Hyattsville	Landover	10.50	5.00
West Hyattsville	New Carrollton	11.62	5.45
West Hyattsville	Mt Vernon Sq 7th St-Convention Center	5.35	2.95
West Hyattsville	Shaw-Howard U	4.93	2.75
West Hyattsville	U Street/African-Amer Civil War Memorial/Cardozo	4.72	2.70
West Hyattsville	Columbia Heights	4.17	2.45
West Hyattsville	Georgia Ave-Petworth	3.36	2.15
West Hyattsville	Hyattsville Crossing	1.13	2.00
West Hyattsville	College Park-U of Md	2.98	2.00
West Hyattsville	Greenbelt	5.33	2.95
West Hyattsville	Archives-Navy Memorial-Penn Quarter	6.18	3.25
West Hyattsville	Waterfront	7.30	3.70
West Hyattsville	Navy Yard-Ballpark	7.49	3.80
West Hyattsville	Anacostia	8.44	4.20
West Hyattsville	Congress Heights	9.66	4.65
West Hyattsville	Southern Avenue	10.31	4.90
West Hyattsville	Naylor Road	10.60	5.05
West Hyattsville	Suitland	11.66	5.45
West Hyattsville	Branch Ave	13.28	6.00
West Hyattsville	Benning Road	8.91	4.35
West Hyattsville	Capitol Heights	10.03	4.80
West Hyattsville	Addison Road-Seat Pleasant	10.89	5.15
West Hyattsville	Morgan Boulevard	12.00	5.60
West Hyattsville	Downtown Largo	13.08	6.00
West Hyattsville	Van Dorn Street	16.66	6.00
West Hyattsville	Franconia-Springfield	19.97	6.00
West Hyattsville	Court House	9.35	4.55
West Hyattsville	Clarendon	9.86	4.75
West Hyattsville	Virginia Square-GMU	10.33	4.95
West Hyattsville	Ballston-MU	10.86	5.15
West Hyattsville	East Falls Church	13.07	6.00
West Hyattsville	West Falls Church	14.73	6.00
West Hyattsville	Dunn Loring-Merrifield	17.09	6.00
West Hyattsville	Vienna/Fairfax-GMU	19.56	6.00
West Hyattsville	McLean	16.40	6.00
West Hyattsville	Tysons	17.04	6.00
West Hyattsville	Greensboro	17.74	6.00
West Hyattsville	Spring Hill	18.25	6.00
West Hyattsville	Wiehle-Reston East	23.77	6.00
West Hyattsville	Reston Town Center	24.87	6.00
West Hyattsville	Herndon	26.22	6.00
West Hyattsville	Innovation Center	27.89	6.00
West Hyattsville	Washington Dulles International Airport	29.82	6.00
West Hyattsville	Loudoun Gateway	31.65	6.00
West Hyattsville	Ashburn	33.50	6.00
