Start	Destination	Distance_mi	Fare_USD
Wheaton	Metro Center	10.74	5.10
Wheaton	Farragut North	10.94	5.20
Wheaton	Dupont Circle	10.95	5.20
Wheaton	Woodley Park-Zoo/Adams Morgan	11.01	5.20
Wheaton	Cleveland Park	11.04	5.20
Wheaton	Van Ness-UDC	11.08	5.25
Wheaton	Tenleytown-AU	11.53	5.40
Wheaton	Friendship Heights	11.61	5.45
Wheaton	Bethesda	11.82	5.55
Wheaton	Medical Center	11.99	5.60
Wheaton	Grosvenor-Strathmore	12.74	5.90
Wheaton	North Bethesda	13.69	6.00
Wheaton	Twinbrook	14.61	6.00
Wheaton	Rockville	16.56	6.00
Wheaton	Shady Grove	19.04	6.00
Wheaton	Gallery Pl-Chinatown	10.61	5.05
Wheaton	Judiciary Square	10.57	5.05
Wheaton	Union Station	10.25	4.90
Wheaton	Rhode Island Ave-Brentwood	8.69	4.30
Wheaton	Brookland-CUA	7.88	3.95
Wheaton	Fort Totten	6.53	3.40
Wheaton	Takoma	4.64	2.65
Wheaton	Silver Spring	3.24	2.10
Wheaton	Forest Glen	1.61	2.00
Wheaton	Glenmont	1.72	2.00
Wheaton	NoMa-Gallaudet U	9.64	4.65
Wheaton	McPherson Square	10.84	5.15
Wheaton	Farragut West	11.02	5.20
Wheaton	Foggy Bottom-GWU	11.30	5.30
Wheaton	Rosslyn	12.15	5.65
Wheaton	Arlington Cemetery	13.00	6.00
Wheaton	Pentagon	13.18	6.00
Wheaton	Pentagon City	13.74	6.00
Wheaton	Crystal City	14.24	6.00
Wheaton	Ronald Reagan Washington National Airport	14.67	6.00
Wheaton	Potomac Yard	16.18	6.00
Wheaton	Braddock Road	17.55	6.00
Wheaton	King St-Old Town	18.14	6.00
Wheaton	Eisenhower Avenue	18.72	6.00
Wheaton	Huntington	19.22	6.00
Wheaton	Federal Triangle	11.04	5.20
Wheaton	Smithsonian	11.41	5.35
Wheaton	L'Enfant Plaza	11.52	5.40
Wheaton	Federal Center SW	11.72	5.50
Wheaton	Capitol South	12.06	5.60
Wheaton	Eastern Market	12.40	5.75
Wheaton	Potomac Ave	12.90	5.95
Wheaton	Stadium-Armory	13.14	6.00
Wheaton	Minnesota Ave	14.16	6.00
Wheaton	Deanwood	14.51	6.00
Wheaton	Cheverly	15.17	6.00
Wheaton	Landover	16.16	6.00
Wheaton	New Carrollton	17.01	6.00
Wheaton	Mt Vernon Sq 7th St-Convention Center	10.05	4.80
Wheaton	Shaw-Howard U	9.58	4.65
Wheaton	U Street/African-Amer Civil War Memorial/Cardozo	9.20	4.50
Wheaton	Columbia Heights	8.37	4.15
Wheaton	Georgia Ave-Petworth	7.63	3.85
Wheaton	West Hyattsville	7.86	3.95
Wheaton	Hyattsville Crossing	8.47	4.20
Wheaton	College Park-U of Md	9.76	4.70
Wheaton	Greenbelt	10.98	5.20
Wheaton	Archives-Navy Memorial-Penn Quarter	10.97	5.20
Wheaton	Waterfront	12.23	5.70
Wheaton	Navy Yard-Ballpark	12.61	5.85
Wheaton	Anacostia	13.70	6.00
Wheaton	Congress Heights	14.98	6.00
Wheaton	Southern Avenue	15.76	6.00
Wheaton	Naylor Road	16.22	6.00
Wheaton	Suitland	17.40	6.00
Wheaton	Branch Ave	19.07	6.00
Wheaton	Benning Road	14.74	6.00
Wheaton	Capitol Heights	15.92	6.00
Wheaton	Addison Road-Seat Pleasant	16.78	6.00
Wheaton	Morgan Boulevard	17.83	6.00
Wheaton	Downtown Largo	18.82	6.00
Wheaton	Van Dorn Street	20.58	6.00
Wheaton	Franconia-Springfield	23.73	6.00
Wheaton	Court House	12.97	6.00
Wheaton	Clarendon	13.39	6.00
Wheaton	Virginia Square-GMU	13.78	6.00
Wheaton	Ballston-MU	14.18	6.00
Wheaton	East Falls Church	15.77	6.00
Wheaton	West Falls Church	16.86	6.00
Wheaton	Dunn Loring-Merrifield	19.17	6.00
Wheaton	Vienna/Fairfax-GMU	21.43	6.00
Wheaton	McLean	17.96	6.00
Wheaton	Tysons	18.59	6.00
Wheaton	Greensboro	19.21	6.00
Wheaton	Spring Hill	19.55	6.00
Wheaton	Wiehle-Reston East	24.50	6.00
Wheaton	Reston Town Center	25.51	6.00
Wheaton	Herndon	26.82	6.00
Wheaton	Innovation Center	28.38	6.00
Wheaton	Washington Dulles International Airport	30.32	6.00
Wheaton	Loudoun Gateway	31.84	6.00
Wheaton	Ashburn	33.59	6.00
