Start	Destination	Distance_mi	Fare_USD
Wiehle-Reston East	Metro Center	18.79	6.00
Wiehle-Reston East	Farragut North	18.84	6.00
Wiehle-Reston East	Dupont Circle	18.95	6.00
Wiehle-Reston East	Woodley Park-Zoo/Adams Morgan	19.24	6.00
Wiehle-Reston East	Cleveland Park	19.42	6.00
Wiehle-Reston East	Van Ness-UDC	19.59	6.00
Wiehle-Reston East	Tenleytown-AU	19.69	6.00
Wiehle-Reston East	Friendship Heights	19.95	6.00
Wiehle-Reston East	Bethesda	20.68	6.00
Wiehle-Reston East	Medical Center	21.23	6.00
Wiehle-Reston East	Grosvenor-Strathmore	22.52	6.00
Wiehle-Reston East	North Bethesda	23.29	6.00
Wiehle-Reston East	Twinbrook	23.92	6.00
Wiehle-Reston East	Rockville	24.85	6.00
Wiehle-Reston East	Shady Grove	26.75	6.00
Wiehle-Reston East	Gallery Pl-Chinatown	19.07	6.00
Wiehle-Reston East	Judiciary Square	19.43	6.00
Wiehle-Reston East	Union Station	19.99	6.00
Wiehle-Reston East	Rhode Island Ave-Brentwood	21.06	6.00
Wiehle-Reston East	Brookland-CUA	21.49	6.00
Wiehle-Reston East	Fort Totten	21.88	6.00
Wiehle-Reston East	Takoma	22.48	6.00
Wiehle-Reston East	Silver Spring	22.93	6.00
Wiehle-Reston East	Forest Glen	23.63	6.00
Wiehle-Reston East	Wheaton	24.50	6.00
Wiehle-Reston East	Glenmont	25.65	6.00
Wiehle-Reston East	NoMa-Gallaudet U	20.38	6.00
Wiehle-Reston East	McPherson Square	18.40	6.00
Wiehle-Reston East	Farragut West	18.02	6.00
Wiehle-Reston East	Foggy Bottom-GWU	17.51	6.00
Wiehle-Reston East	Rosslyn	16.34	6.00
Wiehle-Reston East	Arlington Cemetery	17.11	6.00
Wiehle-Reston East	Pentagon	18.17	6.00
Wiehle-Reston East	Pentagon City	18.42	6.00
Wiehle-Reston East	Crystal City	19.06	6.00
Wiehle-Reston East	Ronald Reagan Washington National Airport	19.56	6.00
Wiehle-Reston East	Potomac Yard	20.60	6.00
Wiehle-Reston East	Braddock Road	21.46	6.00
Wiehle-Reston East	King St-Old Town	21.76	6.00
Wiehle-Reston East	Eisenhower Avenue	22.00	6.00
Wiehle-Reston East	Huntington	22.31	6.00
Wiehle-Reston East	Federal Triangle	18.97	6.00
Wiehle-Reston East	Smithsonian	19.19	6.00
Wiehle-Reston East	L'Enfant Plaza	19.64	6.00
Wiehle-Reston East	Federal Center SW	19.96	6.00
Wiehle-Reston East	Capitol South	20.53	6.00
Wiehle-Reston East	Eastern Market	21.03	6.00
Wiehle-Reston East	Potomac Ave	21.64	6.00
Wiehle-Reston East	Stadium-Armory	22.18	6.00
Wiehle-Reston East	Minnesota Ave	23.95	6.00
Wiehle-Reston East	Deanwood	24.66	6.00
Wiehle-Reston East	Cheverly	25.71	6.00
Wiehle-Reston East	Landover	27.26	6.00
Wiehle-Reston East	New Carrollton	28.50	6.00
Wiehle-Reston East	Mt Vernon Sq 7th St-Convention Center	19.32	6.00
Wiehle-Reston East	Shaw-Howard U	19.53	6.00
Wiehle-Reston East	U Street/African-Amer Civil War Memorial/Cardozo	19.60	6.00
Wiehle-Reston East	Columbia Heights	19.88	6.00
Wiehle-Reston East	Georgia Ave-Petworth	20.55	6.00
Wiehle-Reston East	West Hyattsville	23.77	6.00
Wiehle-Reston East	Hyattsville Crossing	24.77	6.00
Wiehle-Reston East	College Park-U of Md	26.54	6.00
Wiehle-Reston East	Greenbelt	28.38	6.00
Wiehle-Reston East	Archives-Navy Memorial-Penn Quarter	19.31	6.00
Wiehle-Reston East	Waterfront	20.23	6.00
Wiehle-Reston East	Navy Yard-Ballpark	20.84	6.00
Wiehle-Reston East	Anacostia	21.83	6.00
Wiehle-Reston East	Congress Heights	22.86	6.00
Wiehle-Reston East	Southern Avenue	23.77	6.00
Wiehle-Reston East	Naylor Road	24.76	6.00
Wiehle-Reston East	Suitland	26.16	6.00
Wiehle-Reston East	Branch Ave	27.76	6.00
Wiehle-Reston East	Benning Road	24.44	6.00
Wiehle-Reston East	Capitol Heights	25.89	6.00
Wiehle-Reston East	Addison Road-Seat Pleasant	26.87	6.00
Wiehle-Reston East	Morgan Boulevard	28.30	6.00
Wiehle-Reston East	Downtown Largo	29.58	6.00
Wiehle-Reston East	Van Dorn Street	22.36	6.00
Wiehle-Reston East	Franconia-Springfield	24.27	6.00
Wiehle-Reston East	Court House	15.42	6.00
Wiehle-Reston East	Clarendon	14.98	6.00
Wiehle-Reston East	Virginia Square-GMU	14.59	6.00
Wiehle-Reston East	Ballston-MU	14.07	6.00
Wiehle-Reston East	East Falls Church	11.68	5.45
Wiehle-Reston East	West Falls Church	11.71	5.50
Wiehle-Reston East	Dunn Loring-Merrifield	12.30	5.70
Wiehle-Reston East	Vienna/Fairfax-GMU	12.81	5.90
Wiehle-Reston East	McLean	7.55	3.80
Wiehle-Reston East	Tysons	6.97	3.60
Wiehle-Reston East	Greensboro	6.27	3.30
Wiehle-Reston East	Spring Hill	5.65	3.05
Wiehle-Reston East	Reston Town Center	1.13	2.00
Wiehle-Reston East	Herndon	2.46	2.00
Wiehle-Reston East	Innovation Center	4.17	2.45
Wiehle-Reston East	Washington Dulles International Airport	6.06	3.20
Wiehle-Reston East	Loudoun Gateway	8.16	4.05
Wiehle-Reston East	Ashburn	10.09	4.85
