Start	Destination	Distance_mi	Fare_USD
Woodley Park-Zoo/Adams Morgan	Metro Center	2.40	2.00
Woodley Park-Zoo/Adams Morgan	Farragut North	1.70	2.00
Woodley Park-Zoo/Adams Morgan	Dupont Circle	1.19	2.00
Woodley Park-Zoo/Adams Morgan	Cleveland Park	0.71	2.00
Woodley Park-Zoo/Adams Morgan	Van Ness-UDC	1.34	2.00
Woodley Park-Zoo/Adams Morgan	Tenleytown-AU	2.31	2.00
Woodley Park-Zoo/Adams Morgan	Friendship Heights	3.07	2.05
Woodley Park-Zoo/Adams Morgan	Bethesda	4.75	2.70
Woodley Park-Zoo/Adams Morgan	Medical Center	5.77	3.10
Woodley Park-Zoo/Adams Morgan	Grosvenor-Strathmore	7.97	4.00
Woodley Park-Zoo/Adams Morgan	North Bethesda	9.35	4.55
Woodley Park-Zoo/Adams Morgan	Twinbrook	10.44	5.00
Woodley Park-Zoo/Adams Morgan	Rockville	12.39	5.75
Woodley Park-Zoo/Adams Morgan	Shady Grove	15.06	6.00
Woodley Park-Zoo/Adams Morgan	Gallery Pl-Chinatown	2.63	2.00
Woodley Park-Zoo/Adams Morgan	Judiciary Square	2.98	2.00
Woodley Park-Zoo/Adams Morgan	Union Station	3.46	2.20
Woodley Park-Zoo/Adams Morgan	Rhode Island Ave-Brentwood	4.31	2.50
Woodley Park-Zoo/Adams Morgan	Brookland-CUA	4.79	2.70
Woodley Park-Zoo/Adams Morgan	Fort Totten	5.45	3.00
Woodley Park-Zoo/Adams Morgan	Takoma	6.77	3.50
Woodley Park-Zoo/Adams Morgan	Silver Spring	7.92	3.95
Woodley Park-Zoo/Adams Morgan	Forest Glen	9.43	4.55
Woodley Park-Zoo/Adams Morgan	Wheaton	11.01	5.20
Woodley Park-Zoo/Adams Morgan	Glenmont	12.73	5.90
Woodley Park-Zoo/Adams Morgan	NoMa-Gallaudet U	3.72	2.30
Woodley Park-Zoo/Adams Morgan	McPherson Square	2.46	2.00
Woodley Park-Zoo/Adams Morgan	Farragut West	2.56	2.00
Woodley Park-Zoo/Adams Morgan	Foggy Bottom-GWU	2.79	2.00
Woodley Park-Zoo/Adams Morgan	Rosslyn	3.72	2.30
Woodley Park-Zoo/Adams Morgan	Arlington Cemetery	4.50	2.60
Woodley Park-Zoo/Adams Morgan	Pentagon	4.94	2.80
Woodley Park-Zoo/Adams Morgan	Pentagon City	5.51	3.00
Woodley Park-Zoo/Adams Morgan	Crystal City	6.00	3.20
Woodley Park-Zoo/Adams Morgan	Ronald Reagan Washington National Airport	6.44	3.40
Woodley Park-Zoo/Adams Morgan	Potomac Yard	7.94	4.00
Woodley Park-Zoo/Adams Morgan	Braddock Road	9.31	4.50
Woodley Park-Zoo/Adams Morgan	King St-Old Town	9.90	4.75
Woodley Park-Zoo/Adams Morgan	Eisenhower Avenue	10.49	5.00
Woodley Park-Zoo/Adams Morgan	Huntington	10.99	5.20
Woodley Park-Zoo/Adams Morgan	Federal Triangle	2.67	2.00
Woodley Park-Zoo/Adams Morgan	Smithsonian	3.02	2.00
Woodley Park-Zoo/Adams Morgan	L'Enfant Plaza	3.46	2.20
Woodley Park-Zoo/Adams Morgan	Federal Center SW	3.71	2.30
Woodley Park-Zoo/Adams Morgan	Capitol South	4.18	2.45
Woodley Park-Zoo/Adams Morgan	Eastern Market	4.62	2.65
Woodley Park-Zoo/Adams Morgan	Potomac Ave	5.22	2.90
Woodley Park-Zoo/Adams Morgan	Stadium-Armory	5.64	3.05
Woodley Park-Zoo/Adams Morgan	Minnesota Ave	7.26	3.70
Woodley Park-Zoo/Adams Morgan	Deanwood	7.92	3.95
Woodley Park-Zoo/Adams Morgan	Cheverly	8.96	4.40
Woodley Park-Zoo/Adams Morgan	Landover	10.56	5.00
Woodley Park-Zoo/Adams Morgan	New Carrollton	11.86	5.55
Woodley Park-Zoo/Adams Morgan	Mt Vernon Sq 7th St-Convention Center	2.73	2.00
Woodley Park-Zoo/Adams Morgan	Shaw-Howard U	2.84	2.00
Woodley Park-Zoo/Adams Morgan	U Street/African-Amer Civil War Memorial/Cardozo	2.89	2.00
Woodley Park-Zoo/Adams Morgan	Columbia Heights	3.15	2.05
Woodley Park-Zoo/Adams Morgan	Georgia Ave-Petworth	3.93	2.35
Woodley Park-Zoo/Adams Morgan	West Hyattsville	7.29	3.70
Woodley Park-Zoo/Adams Morgan	Hyattsville Crossing	8.39	4.15
Woodley Park-Zoo/Adams Morgan	College Park-U of Md	10.25	4.90
Woodley Park-Zoo/Adams Morgan	Greenbelt	12.49	5.80
Woodley Park-Zoo/Adams Morgan	Archives-Navy Memorial-Penn Quarter	2.96	2.00
Woodley Park-Zoo/Adams Morgan	Waterfront	4.17	2.45
Woodley Park-Zoo/Adams Morgan	Navy Yard-Ballpark	4.66	2.65
Woodley Park-Zoo/Adams Morgan	Anacostia	5.78	3.10
Woodley Park-Zoo/Adams Morgan	Congress Heights	7.04	3.60
Woodley Park-Zoo/Adams Morgan	Southern Avenue	7.90	3.95
Woodley Park-Zoo/Adams Morgan	Naylor Road	8.58	4.25
Woodley Park-Zoo/Adams Morgan	Suitland	9.93	4.75
Woodley Park-Zoo/Adams Morgan	Branch Ave	11.62	5.45
Woodley Park-Zoo/Adams Morgan	Benning Road	7.78	3.90
Woodley Park-Zoo/Adams Morgan	Capitol Heights	9.21	4.50
Woodley Park-Zoo/Adams Morgan	Addison Road-Seat Pleasant	10.19	4.90
Woodley Park-Zoo/Adams Morgan	Morgan Boulevard	11.58	5.45
Woodley Park-Zoo/Adams Morgan	Downtown Largo	12.84	5.95
Woodley Park-Zoo/Adams Morgan	Van Dorn Street	12.53	5.80
Woodley Park-Zoo/Adams Morgan	Franconia-Springfield	15.79	6.00
Woodley Park-Zoo/Adams Morgan	Court House	4.67	2.65
Woodley Park-Zoo/Adams Morgan	Clarendon	5.16	2.85
Woodley Park-Zoo/Adams Morgan	Virginia Square-GMU	5.61	3.05
Woodley Park-Zoo/Adams Morgan	Ballston-MU	6.12	3.25
Woodley Park-Zoo/Adams Morgan	East Falls Church	8.28	4.10
Woodley Park-Zoo/Adams Morgan	West Falls Church	9.97	4.80
Woodley Park-Zoo/Adams Morgan	Dunn Loring-Merrifield	12.31	5.70
Woodley Park-Zoo/Adams Morgan	Vienna/Fairfax-GMU	14.78	6.00
Woodley Park-Zoo/Adams Morgan	McLean	11.74	5.50
Woodley Park-Zoo/Adams Morgan	Tysons	12.37	5.75
Woodley Park-Zoo/Adams Morgan	Greensboro	13.08	6.00
Woodley Park-Zoo/Adams Morgan	Spring Hill	13.63	6.00
Woodley Park-Zoo/Adams Morgan	Wiehle-Reston East	19.24	6.00
Woodley Park-Zoo/Adams Morgan	Reston Town Center	20.35	6.00
Woodley Park-Zoo/Adams Morgan	Herndon	21.70	6.00
Woodley Park-Zoo/Adams Morgan	Innovation Center	23.39	6.00
Woodley Park-Zoo/Adams Morgan	Washington Dulles International Airport	25.30	6.00
Woodley Park-Zoo/Adams Morgan	Loudoun Gateway	27.25	6.00
Woodley Park-Zoo/Adams Morgan	Ashburn	29.14	6.00
